t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,20.5968611512848,40.7688472019624,0.00591920839202091,0.00128566470317173,0.147709026218703
5.5,NaN,NaN,-0.0375660471926122,NaN,NaN
6,NaN,NaN,NaN,NaN,1.15836759814054
7.5,15.2878739769951,NaN,NaN,NaN,NaN
9.5,NaN,94.9447559659479,NaN,0.00128545041463138,NaN
10,NaN,NaN,0.0421525117892685,NaN,0.196503779920655
15,8.18202319999528,NaN,0.130149741008657,NaN,NaN
20,NaN,106.024097638247,NaN,0.00254526681578271,0.496765945130443
25,10.5080331691611,NaN,0.402293113568791,NaN,1.44328476832528
30,18.6647689975037,80.1491199524836,0.742456258072759,0.0093651024927864,4.23499892327935
35,NaN,NaN,0.931575109983401,NaN,NaN
40,29.3051170111755,52.3310586872087,NaN,0.0217705046394609,9.87233038537015
45,NaN,NaN,0.822985234634258,NaN,NaN
50,NaN,NaN,NaN,NaN,15.0026211715977
55,24.9041383148244,34.6685327367094,0.45267781251133,0.0258426191311782,NaN
60,NaN,NaN,NaN,NaN,14.8806346570452
65,24.7742382380804,NaN,0.191255316865301,0.0190002523297,NaN
70,NaN,20.5523140499029,NaN,NaN,9.77649925595779
80,23.9497645762479,NaN,0.0534818189684562,0.00900552067826801,NaN
85,NaN,26.1895564426152,NaN,NaN,3.81454744850845
95,NaN,NaN,0.0159187403990414,NaN,NaN
100,20.0962153739149,44.0010442116974,NaN,-0.000220070936229639,1.10799005509187
150,NaN,34.8263685289307,NaN,-0.000703012510241422,NaN
