t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,20.3759603375807,33.1979871781356,-0.0256068243278512,0.000754518867674181,0.918978344153588
8,NaN,81.708722715641,NaN,NaN,NaN
8.5,9.40396883142999,NaN,NaN,NaN,NaN
10,NaN,NaN,0.0258861896620177,NaN,NaN
15,11.2097889417821,115.34682606811,NaN,0.00135093672274459,-0.207557178955116
20,NaN,NaN,0.232368105629771,NaN,NaN
25,12.5381752562533,104.181082827998,NaN,NaN,NaN
30,NaN,NaN,NaN,0.0103490858891059,NaN
35,12.8359414281809,74.971154728533,0.907155755140358,NaN,7.63952555814378
45,NaN,41.6167977087431,0.989547129836165,NaN,NaN
50,29.5441145106392,NaN,NaN,0.0282435144399992,NaN
55,NaN,NaN,NaN,NaN,17.3612139448155
60,30.416960397397,38.3116030439195,0.482081758843996,NaN,NaN
70,NaN,NaN,NaN,0.0155245011970657,NaN
75,NaN,24.8242614286946,NaN,NaN,10.4029192059717
80,26.2799924701771,NaN,0.0719116376628178,NaN,NaN
90,NaN,40.4299573275018,NaN,NaN,NaN
95,22.607593913429,NaN,NaN,0.00184861807375308,NaN
100,24.5094373763614,30.9993689347539,0.043409522262607,NaN,1.50380081651487
150,NaN,NaN,0.344203549704054,0.0057212609742988,3.40483921783
