t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,23.0299240887577,38.6386891710017,0.00487890872141731,0.000170954854272558,-0.00328659738082232
8,17.7320179729972,NaN,NaN,NaN,NaN
8.5,NaN,77.1037399287874,NaN,NaN,NaN
10,NaN,NaN,0.0185324038162087,6.9185603975756e-05,NaN
15,23.7031654560888,71.2812182613634,NaN,NaN,0.176223175671259
20,NaN,NaN,0.110067064651736,NaN,NaN
25,21.4795200809589,58.0491820595274,NaN,0.00214963564284295,0.688232103866167
35,26.341082326301,36.6109398719269,0.237198597449589,0.00607402472799216,NaN
40,NaN,NaN,NaN,NaN,3.50678922807195
45,24.4347083808536,NaN,0.203789982456379,NaN,NaN
50,NaN,29.8592473564101,NaN,0.00689194309956328,NaN
55,NaN,NaN,NaN,NaN,3.92320224199615
60,22.2043095094122,28.8625429541973,0.0686382167240208,NaN,NaN
65,NaN,NaN,NaN,0.00394107634745574,NaN
75,29.939365622167,NaN,NaN,NaN,1.53407458677635
80,NaN,38.1158102110552,0.0217510748870175,NaN,NaN
85,NaN,NaN,NaN,0.00123950060731073,NaN
90,24.3570680578087,NaN,NaN,NaN,NaN
95,NaN,35.9325248216727,NaN,NaN,0.73633780527826
100,27.0011234610823,44.6584261110064,0.00755129989735152,0.000468065301515888,0.0838742346466053
150,NaN,NaN,0.0145376989752198,0.000664035355214837,0.168216531957163
