t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,28.0563930735776,45.6079719749005,0.00742020897847806,-0.00017242919647321,0.980043458578117
8.5,NaN,NaN,NaN,NaN,-0.149433460892128
9,11.8862813951241,81.4964366160747,NaN,NaN,NaN
10,NaN,NaN,-0.00853594094632329,NaN,NaN
15,NaN,NaN,NaN,0.000735997850004804,NaN
20,17.0484728713433,96.2727126029172,0.153129339506127,NaN,0.53773466013023
25,NaN,NaN,NaN,0.00228788549318901,0.635629734771004
30,17.6341627442284,56.7639079821457,0.42715784869547,NaN,NaN
40,28.0012162579582,37.7801256526578,NaN,0.0134975595811499,5.65871468939251
45,NaN,NaN,0.440054406117562,NaN,NaN
50,NaN,27.8228184634494,NaN,NaN,8.70813315177516
55,26.0090074495805,NaN,NaN,NaN,NaN
60,NaN,NaN,0.206520089416178,0.0121879369724178,NaN
65,25.1531382892722,33.1877060722797,NaN,NaN,6.82958362233366
75,NaN,NaN,0.0706558230508039,0.00553349646826104,NaN
80,NaN,NaN,NaN,NaN,2.74375999368659
85,27.1274357648985,31.7843872603927,NaN,NaN,NaN
95,NaN,NaN,0.0219803682686218,NaN,NaN
100,28.5548104201377,34.1881138792188,-0.0153940322749289,0.00118339580698317,0.621316483712841
150,23.3750451916448,43.3041614086557,NaN,0.000897635476389928,NaN
