t,input_stattic,nSTAT3_Obs,nSOCS3RNA4_Obs
15,0,103.060695702553,0.0533147067382893
15,20,52.8183798652974,0.0126930828160141
15,20,64.4517151079435,0.0119928435094117
15,20,63.1742343509001,0.0154146703371481
15,20,58.4977382221718,0.0120677369876534
15,40,36.3900066261892,0.00886350617027805
15,50,52.9760563361586,0.0119157388672789
15,60,45.67613460345,0.00892579633046385
15,60,58.672708262214,0.00853511927486829
15,60,44.5500031214419,0.00912149416398382
15,60,41.0930241239412,0.0116629408368288
