t,input_il6,nSTAT3_Obs,nSOCS3RNA4_Obs
17,0.1,44.8302963115656,0.0091262524715011
17,0.1,30.3041631049708,-0.00926026107464653
17,0.1,37.8567629268732,0.0309690074374218
17,0.1,28.2017041972585,0.0117447468002803
17,1,43.548077751352,0.0107345603230625
17,1,50.9483700969376,0.00154751612840099
17,1,23.2812038913485,0.0271562945653301
17,1,54.6917958485422,0.0214176780064504
17,5,57.5530576625446,0.0359875344984501
17,5,53.343540827742,0.0314360151764254
17,5,49.3880604423296,0.00921218134110471
17,5,56.4446951758111,0.0379785157988556
17,10,125.3639599688,0.182705388069281
17,10,119.143139675558,0.174029514125434
17,10,105.74240896182,0.175349800533956
17,10,119.295032374886,0.14775661896349
17,50,50.7550473449256,0.00931574814887304
17,50,53.6113880078327,0.0261528221095496
17,50,57.6564762726155,0.0306696799581882
17,50,58.2407410217262,0.0414693625012304
17,100,77.8608740410513,0.108635835668876
17,100,114.005729209648,0.0988545522083492
17,100,116.668912061696,0.129051189993771
17,100,111.141121466114,0.11464415842126
17,500,115.611827506318,0.380258670729523
17,500,127.926199808958,0.397404231083159
17,500,122.024819867495,0.387413280429809
17,500,130.369496894414,0.384786933099007
