t,input_il6,nSTAT3_Obs,nSOCS3RNA4_Obs
15,0.1,32.0134236041848,0.0116043434729987
15,0.1,37.5623692126572,0.0120895101944855
15,1,32.4604729630413,0.0180578887658783
15,1,28.997468616297,0.00973176402360305
15,5,50.5340245979117,0.0103100356203969
15,5,40.6051578967221,0.00874607420693692
15,10,79.809024490552,0.024415220926941
15,10,74.7310803780691,0.0172587463416222
15,50,29.9017971197805,0.0112810716290947
15,50,50.5263796592305,0.00915556474709567
15,100,53.1776487143465,0.0168899860061417
15,100,56.4823480557395,0.0169561567021416
15,500,101.726098778107,0.0781505448175278
15,500,109.200439958355,0.0806118622094564
