t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,29.5305841593274,35.7978649099382,0.00270142026013062,-0.000345709076185762,0.737593497098348
8,NaN,96.9976708106387,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,1.04590910702548
10,NaN,NaN,0.0809248679980545,NaN,NaN
15,4.53221046857396,98.8853674230851,NaN,-0.000633046520310677,1.02542632514861
25,5.48729977976291,97.71401162942,0.477074123198762,NaN,2.68322517288634
30,NaN,NaN,NaN,0.011267776193806,NaN
35,NaN,60.8216478544458,NaN,NaN,6.65835768688846
40,21.2906307963052,NaN,1.0318509762599,NaN,NaN
45,NaN,NaN,NaN,0.027423817761881,14.7008267200811
50,NaN,29.2828564651421,NaN,NaN,NaN
55,21.557133166021,NaN,0.5661668889983,NaN,NaN
60,NaN,36.4419852462081,NaN,NaN,16.632853898311
65,NaN,NaN,NaN,0.0225435972071068,NaN
70,NaN,NaN,0.204301420270244,NaN,NaN
75,23.2224093869364,NaN,NaN,NaN,9.84488271002115
80,NaN,28.3255284263443,NaN,NaN,NaN
85,NaN,NaN,NaN,0.00420577392654758,NaN
90,NaN,NaN,-0.00334898981118839,NaN,2.89570166544886
95,NaN,47.885733567354,NaN,NaN,NaN
100,29.8815986497256,35.4809431528191,-0.0100459283094383,0.00197402158839899,1.23716215893613
150,26.5540407480495,NaN,-0.0571800632840175,-0.000719781678207382,NaN
