t,input_il6,SOCS3_Obs
42,0,0.200649356138864
42,0,0.574900396093024
42,0.0005,0.0458623522970536
42,0.0005,0.209964538884985
42,0.0005,0.289759991694572
42,0.0005,0.512106396286937
42,0.0005,0.527182645218656
42,0.0005,0.819688630458785
42,0.0005,0.941377230199868
42,0.0005,1.36791947884318
42,0.005,-0.148263492769955
42,0.005,0.0850557722915488
42,0.005,0.277732224146815
42,0.005,0.279340009124792
42,0.05,0.594143408704789
42,0.05,0.784588691995272
42,0.1,-0.698632869082527
42,0.1,-0.00614565101572317
42,0.1,0.0454110786235508
42,0.1,0.119871460215375
42,0.1,0.636675544445472
42,0.1,1.75563053649612
42,0.5,-0.467546112240992
42,0.5,0.075018651950348
42,0.5,0.108308732202701
42,0.5,0.375190523558694
42,0.5,0.49559434122739
42,0.5,1.00668925441463
42,0.5,1.20295534929155
42,0.5,1.54233799320024
42,1,-0.77486814188317
42,1,-0.377120858902531
42,1,0.193166843931239
42,1,0.593987410899642
42,2.5,-0.393752449021753
42,2.5,-0.0760734321124232
42,2.5,-0.0563322401128088
42,2.5,0.199190859572771
42,5,0.622660334249649
42,5,0.637231366737772
42,5,0.729027340092798
42,5,0.764728812559719
42,5,0.790580714016117
42,5,0.872563516085071
42,5,1.19617818629654
42,5,1.98734714386534
42,10,1.19445312078688
42,10,1.81386783928533
42,10,2.0247042512772
42,10,2.12870281218749
42,10,2.18191203871159
42,10,3.05098581312916
42,10,3.10076315644629
42,10,3.11795024855264
42,25,5.07980124599802
42,25,5.22603430929553
42,25,5.23030641337719
42,25,5.46067812084079
42,50,8.99960068252678
42,50,9.38297900725661
42,100,13.1687390794488
42,100,13.2224263334084
42,100,13.4333901234345
42,100,13.4499564081419
42,100,13.5651499886003
42,100,13.7944985847618
42,200,16.0829563631294
42,200,16.4710855067469
42,200,16.7254671214493
42,200,16.9547736819396
42,200,17.0506688935848
42,200,17.2826835639641
42,500,19.7787543720398
42,500,20.7602427114179
