t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,30.343073944631,38.4008868491022,0.00137740022977604,0.000485196439116603,0.300191626443379
7,NaN,37.8393731232595,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,0.0244432558270106
10,27.4983406349851,NaN,NaN,NaN,NaN
15,NaN,56.1179231640714,0.0154286705280949,0.000374856243291582,NaN
20,23.7974212984924,45.4850455931665,NaN,NaN,0.33492075296691
25,NaN,NaN,0.0432003328767481,NaN,NaN
30,NaN,52.6734109435991,NaN,NaN,0.449663654923054
35,16.0884897604605,NaN,NaN,0.001845623339047,NaN
40,NaN,38.5370303357194,0.122119006695012,NaN,1.05041966238274
45,26.6644135231049,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,2.10589592411295
55,NaN,43.1880897857599,0.154279366933438,0.00432194178824439,NaN
60,26.717161478256,NaN,NaN,NaN,NaN
65,NaN,41.5836492282449,NaN,NaN,2.77901066646531
75,29.4829282979164,NaN,0.0690202848651059,0.00408748985998485,NaN
80,NaN,35.6935896183692,NaN,NaN,2.21170279875243
95,21.5253996356578,NaN,0.0307777967825888,NaN,NaN
100,24.2161111323184,38.273729793991,0.0280900125520838,0.00193783428205933,0.943314427635554
150,23.3728159485158,NaN,0.0445233430408848,0.00145999230887802,0.529973395944239
