t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,29.6711272729898,35.377933302669,0.0205771145606124,7.9942335895758e-05,-0.127739827879233
7.5,NaN,67.3889889097103,NaN,NaN,NaN
9.5,18.1765054965509,NaN,NaN,NaN,NaN
10,NaN,NaN,-0.00604537396691544,-0.000345921054744696,0.542146663015835
15,NaN,96.2292120917953,NaN,NaN,NaN
20,14.1146076356716,NaN,0.148161148049361,NaN,0.276848235005252
25,NaN,88.6734390239458,NaN,0.000834505658325606,NaN
30,20.5746160020023,NaN,NaN,NaN,2.33373457466589
35,NaN,63.1471547759135,0.54764742544406,0.00775078298630484,NaN
40,21.9739462596647,NaN,NaN,NaN,NaN
45,NaN,46.4140744579483,0.559561593927789,NaN,7.48876341288499
50,NaN,NaN,NaN,0.0170392722933859,NaN
55,30.8033204175378,33.8818678032794,NaN,NaN,NaN
60,NaN,NaN,0.342284327900094,NaN,10.6533031966814
70,31.0482351615236,31.490552332075,NaN,0.0127819493534511,NaN
75,NaN,NaN,0.114985453392095,NaN,8.03986780381415
90,24.9164542503293,28.1060673139777,NaN,0.00371485660110439,NaN
95,NaN,NaN,0.0452908864436469,NaN,2.11485634206348
100,26.1122478654636,43.3853777996303,-0.00217683343528704,0.0010592806890971,2.11349695684964
150,31.8675990593847,NaN,0.00391382789586099,-8.60949423643529e-05,NaN
