t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,23.3600654460865,36.148227889624,0.0191100712977774,0.00135352447838766,-0.602724326721441
8.5,NaN,108.25694725262,NaN,NaN,NaN
9,9.06211621987372,NaN,NaN,NaN,NaN
9.5,NaN,NaN,-0.0118083820495741,NaN,NaN
10,NaN,NaN,NaN,NaN,1.0648762734144
15,NaN,NaN,NaN,0.00139273096598471,NaN
20,7.86273195890004,119.960928933774,0.0163300676993778,NaN,-0.434401619770121
25,NaN,105.915657212003,NaN,-0.00125440616200782,NaN
30,4.57155244068837,NaN,0.0130874130320205,NaN,NaN
35,NaN,NaN,NaN,NaN,0.922695760026571
40,5.11291918907101,131.531121373274,0.105674158361329,-0.000602825591487407,NaN
45,NaN,NaN,NaN,NaN,-0.411355831253476
50,12.4338322358504,107.186351735009,NaN,NaN,NaN
55,NaN,NaN,0.874319563006003,NaN,NaN
60,NaN,57.6711687785482,NaN,0.0206252563457055,8.57335884909381
65,21.3785908915068,NaN,NaN,NaN,NaN
70,NaN,NaN,0.887378380964498,NaN,NaN
80,NaN,39.6326734409202,NaN,0.0300682186286494,18.5896411301404
85,27.2205224904533,NaN,0.405348400052163,NaN,NaN
95,NaN,34.8346636578574,NaN,NaN,NaN
100,26.5473286210728,48.3694051382878,0.163951764026144,0.0110572162072404,8.91979766574316
150,20.3120073033897,NaN,0.112960237189232,0.000450458508238898,0.595581754877473
