t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,22.8668487818734,37.6923076443342,0.0355434211559011,0.000209472751371121,-0.249870883415705
7.5,NaN,98.6298296908097,NaN,NaN,NaN
10,NaN,NaN,0.0813998934850212,0.000832548373499934,0.136110298109116
15,6.28159067998096,107.469166576415,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,-0.888982458109192
25,13.5193844651613,99.9955940397909,0.485699762077172,0.00646301797307004,NaN
30,NaN,75.3531286725025,NaN,NaN,NaN
35,NaN,NaN,0.922752064301296,0.0183218612104755,6.78655060614262
40,24.3079433470463,NaN,NaN,NaN,NaN
45,NaN,25.8385056242192,NaN,NaN,12.8692397742085
50,NaN,NaN,0.64947221132637,0.0270771252940142,NaN
55,25.1110063335893,34.1582081006851,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,15.8588170170929
65,NaN,NaN,0.283058161161902,0.0196304330726001,NaN
70,NaN,25.5027911519152,NaN,NaN,NaN
75,31.1372783938618,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,4.5327031690231
85,NaN,28.8798635805459,-0.0153273945189231,0.0039412256593851,NaN
90,26.3641349000719,NaN,NaN,NaN,NaN
100,23.2200334215824,29.0257581862128,0.0763195697366138,0.000815629501549765,0.367930679723365
150,18.7917700780485,NaN,-0.025243066041085,8.95538795413627e-05,-0.918245662991985
200,24.1686262986135,NaN,NaN,NaN,NaN
250,25.8029818249348,NaN,NaN,NaN,NaN
