t,input_il6,SOCS3RNA_Obs
91,0.1,-2.2843541323731e-05
91,0.1,0.000334544364432323
91,0.5,-8.68899824581293e-05
91,0.5,0.000256238651745663
91,1,9.95417009178347e-05
91,1,0.000271025931649468
91,2.5,0.000248913332236361
91,2.5,0.00053695171223462
91,5,0.000900906219312034
91,5,0.00104992812571574
91,10,0.0013495839541051
91,10,0.00195142241309244
91,25,0.00261382764338976
91,25,0.00279451714873089
91,50,0.00313915823048611
91,50,0.0032223171646261
91,100,0.00346446010265245
91,100,0.00353557607479866
91,500,0.00442150946162343
91,500,0.00445397878454146
