t,input_il6,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
7,5,23.6650413750258,54.8673981924936,0.0101583192756979,0.00039536017042718,0.142524564923054
7,5,19.8006945945965,54.5580772129918,0.0129462990651797,0.000364019124844457,0.195886417525425
7,5,22.5532023594827,56.7735473571276,0.0102754715303826,0.000386805259172008,0.211148063399473
7,5,19.7977803106774,50.3453540381846,0.0104903271883393,0.000352228139574294,0.215911302958728
7,20,15.6335666082324,66.5253034572865,0.0131543909459276,0.000375996815739215,0.189860798768905
7,20,17.525711525924,68.4627094926409,0.00821666085885144,0.000313983514702261,0.190774667896846
7,20,17.2123712108912,75.3535636946578,0.0147969673829767,0.000390005475085704,0.293950864489605
7,20,16.4155654160961,70.1945837092616,0.0111428755483597,0.00034840321852869,0.217305258351822
7,40,25.3161404815719,34.8650796370569,0.00949581817282803,0.0004136286407211,0.199338646233442
7,40,25.3499761898065,45.1257750140461,0.00955089466568604,0.00039661123609362,0.256567012597612
7,40,23.5074320064146,41.4354835145626,0.00945436202987662,0.000272221239127601,0.199734352386904
7,40,26.4056093138278,47.1375052909563,0.0127270055471728,0.000395829331765978,0.225396170007554
7,90,5.72058919445235,75.7969985916034,0.0108317185751936,0.000418091451579104,0.254024244473076
7,90,13.0085721261287,79.8684588763586,0.0116667870173202,0.000357330924789351,0.195880313336495
7,90,11.0027224715503,75.3399415433351,0.0112764068691357,0.000409046502381091,0.185732893735572
7,90,7.82263055766008,81.6730383730896,0.0081613441653394,0.000272705743475653,0.210952699351081
