t,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs
0,-9.21408244182157e-06,-2.03305752162929e-05,3.63230877113007,7.94284454461415,5.60212726061191,130.060007666982,220.101521065419,27.6298229513761,-1.81532847193278
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.4697870823848,NaN
8,NaN,NaN,NaN,NaN,-43.058419483219,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,-28.397091980742,NaN,NaN,196.913923380745,NaN,NaN
10,NaN,NaN,3.31438201644442,NaN,NaN,NaN,NaN,NaN,8.13862987966625
15,0.000559458129534103,0.000485037531926858,NaN,NaN,-10.175360733107,121.056352081506,NaN,619.124856967416,NaN
20,NaN,NaN,NaN,243.406490109267,NaN,NaN,802.887925784592,1068.65695285773,18.2534291966201
25,NaN,NaN,4.80203637673442,516.864334218053,106.60915653685,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,119.500853228749,1388.48566705996,1906.97188077716,22.6033132811819
35,0.000700474479468974,0.000670081258609686,7.89047988968556,NaN,230.018598683438,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,1091.41234812567,NaN,NaN,1519.99943221969,2553.69855132723,21.2951799758642
45,NaN,NaN,NaN,NaN,491.670861512656,114.967489285937,NaN,NaN,NaN
50,NaN,0.000630009337323585,10.0337543384364,1312.41855620749,NaN,NaN,1553.76619859894,2792.89807522911,NaN
55,0.000588952812361206,NaN,NaN,NaN,748.803745207697,NaN,NaN,NaN,22.3522722020637
60,NaN,NaN,11.805427431298,NaN,NaN,133.686366583873,1441.26721288528,2807.50568961594,NaN
65,NaN,NaN,NaN,1399.13826932507,1010.72454869192,NaN,NaN,NaN,22.2360718200216
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2514.69771994299,NaN
75,0.000489420924736711,0.000432280014779305,NaN,NaN,NaN,NaN,1324.57774620298,NaN,NaN
80,NaN,NaN,13.743913369282,1227.52038527619,1234.80216944775,134.29504361721,NaN,NaN,25.7746250419372
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2302.44285036548,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,1203.90936427953,NaN,NaN
95,0.000343172621876231,0.000365245534476571,13.6984569651647,NaN,NaN,126.602373114702,NaN,NaN,26.2652221335744
100,0.000352387662870548,0.000338362124332494,13.8818824665823,973.833932986912,1226.30491030261,135.759568765209,1131.16308280368,1917.16374295528,24.6272661591064
150,0.00024044768855465,0.000230141814867014,13.5644637989282,656.497445634572,821.505994699014,129.755111257644,767.045820707153,1255.87071245637,26.3797376089951
200,0.000154751252967575,0.000188758719995487,11.8096400259098,451.376558726132,557.998441002249,130.703708701041,598.447940283583,NaN,23.6232992707066
250,0.00015553259319012,0.000165060274879718,11.6616646437096,NaN,NaN,136.717141408735,NaN,NaN,21.4438575702283
300,NaN,NaN,10.5506496541131,NaN,NaN,136.91767135908,NaN,NaN,18.0162416503354
