t,EpoRJAK2_Obs,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,p1EpoRpJAK2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs,Compound_14_Obs
0,3.4541563803718,0.000105349707133245,-0.549234829443146,16.8487435028764,8.34739032537168,1.2682177468356e-05,-1.25855505049916e-05,1.20536235096099e-05,1.47248663557092e-05,5.89272592868089,3.04501567786416,-33.8021875489574,2.3225499776044,5.41030780464896,130.43073264016,99.9363357768728,1.04674628371602,23.2761027732386,-0.299782048721667,233.849720940298,-52.9477491299015,-0.244140695771667,-94.7050644704903
20,NaN,NaN,73.8304246891775,NaN,NaN,NaN,NaN,NaN,NaN,77.9432566969441,NaN,345.816465052605,861.754549969195,NaN,NaN,919.93649398147,-42.3428313120381,NaN,75.3434952990027,NaN,1150.35182448803,NaN,NaN
25,2.86075732599124,0.0482136433670228,NaN,1077.1117420276,NaN,NaN,NaN,NaN,0.0174990703618985,NaN,NaN,NaN,NaN,97.1145119219365,NaN,NaN,NaN,1145.99659482769,NaN,1130.39064137322,NaN,NaN,1368.7415917047
30,NaN,NaN,NaN,NaN,713.977486742543,NaN,NaN,NaN,NaN,NaN,6.75130633252326,NaN,NaN,NaN,122.246508512019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0751669886967,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.000676803225134462,NaN,NaN,NaN,NaN,1077.64168017369,1472.36416245693,NaN,NaN,NaN,NaN,NaN,61.569325108685,NaN,NaN,NaN,NaN
45,NaN,NaN,51.5469598474292,NaN,NaN,0.000657698486819806,NaN,0.000666670141053895,NaN,61.3678213411266,NaN,NaN,NaN,NaN,NaN,1574.99885302531,260.613848740153,NaN,NaN,NaN,2701.97983223944,NaN,NaN
50,NaN,NaN,NaN,1468.39357182645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,682.253109273148,NaN,NaN,NaN,NaN,NaN,1554.65753922523,NaN,NaN,2732.60735094117
55,3.18147578409859,0.0167663258721569,NaN,NaN,1352.66197885144,NaN,NaN,NaN,0.0121654143005477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1458.29859090522,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1151045645282,NaN,1388.14580376851,NaN,118.301658320006,NaN,NaN,NaN,50.2557353922861,NaN,NaN,NaN,NaN
65,NaN,NaN,39.4101315634787,NaN,NaN,NaN,NaN,NaN,NaN,49.9883767518984,NaN,1428.99546873119,NaN,NaN,NaN,NaN,684.206066825675,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1337.26052612148,NaN,NaN,NaN,NaN,2526.82233131933,NaN,NaN
75,NaN,NaN,NaN,1227.38548928838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1154.67245742999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9907177343969,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.000435680561254548,NaN,NaN,NaN,NaN,NaN,1189.2518007731,NaN,NaN,NaN,NaN,1166.39663876267,NaN,1273.31988659955,NaN,NaN,3467.72710641277
85,3.16716028829706,NaN,NaN,NaN,NaN,0.000408635698558756,NaN,0.000419889143937894,0.0086536366841436,NaN,NaN,1206.01845313144,NaN,NaN,NaN,NaN,NaN,NaN,46.273888051751,NaN,NaN,NaN,NaN
90,NaN,0.010945941995314,30.8999840931014,NaN,1159.07393422489,NaN,NaN,NaN,NaN,43.6696840551451,12.8245126187452,NaN,NaN,NaN,131.209292448028,NaN,1150.64464899418,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1118.78782502758,NaN,NaN,NaN,NaN,1984.60023440442,NaN,NaN
100,3.33190336338699,0.0109440164761421,26.8228571704573,936.200593675035,1043.56054324917,NaN,0.000347504289901345,NaN,0.00901260040368717,42.887566934318,13.8649767330861,1001.82837719808,905.547810298124,1200.1535605671,NaN,NaN,1189.02444347665,937.769389125371,45.4858322138283,1042.8551693999,1933.14090178573,24.9380494214873,3114.78656357302
150,2.91856624633021,0.00827299492975876,19.1362094823785,574.841095152425,600.864176892937,0.000253994505269841,0.000234868721928071,0.000250192551322386,0.00810566176395987,37.4729313203024,13.4631934821554,684.955308384379,609.976665097654,845.567918945519,126.292474334922,719.444005610518,908.851440168971,666.556652271716,41.9240709924657,701.813963633531,1142.87432488625,24.8719363475605,2170.77525345239
200,3.26628219080323,0.00805614686186991,16.9608874483488,463.823400106933,431.19488998832,0.000198320241532309,0.000206038337245523,0.000179336283680056,0.0075966955138722,31.050602927971,12.1520422326142,503.944540712243,396.12331837932,518.118062498651,126.578352347171,607.27035069928,642.753333716134,482.03376013954,36.8999990482439,567.892871177839,999.186605917906,23.5558240440159,1412.88332143181
250,3.06392182945026,NaN,15.9498952570824,416.083114437658,444.422911243802,0.000190316168966006,NaN,0.00017335212611433,0.00710552587509395,24.7987447277885,11.7987910077077,449.46477825817,435.281093138511,415.803118207798,134.758322860474,582.573232113114,460.997478899942,505.26853302094,33.1357707041745,546.432164207359,856.854333169822,21.204862479059,1295.40456882727
300,2.84813194200285,0.0059227586843614,16.5335383883512,386.488109112944,NaN,0.000173980599277149,0.000159782320682808,0.00016483522730009,0.00661713880489621,25.8052693548627,11.2991780357821,381.496684581021,400.8915341068,412.353624292985,131.814841190972,519.644746234552,421.896565229572,444.644933253645,30.0352655137706,508.38000421992,841.917049086178,20.0718782356233,1165.39496971301
350,NaN,NaN,16.1516579225692,383.264527074697,346.270018782131,NaN,0.00017089345437783,NaN,NaN,26.0054323293335,10.795536668759,366.787468251702,386.725337991124,356.255670752966,NaN,NaN,349.057531530323,444.807549282149,27.6750377979179,527.718299804063,869.007271270616,NaN,NaN
400,3.07835246835006,NaN,NaN,NaN,401.129138596177,0.000179922005813936,NaN,0.00016800668796676,0.00705873323809561,21.4106069406342,NaN,NaN,428.748195615814,NaN,130.577764149581,520.322006054247,443.945387314278,NaN,26.7283434678403,544.36993084991,NaN,16.78028712269,1202.78913460559
450,NaN,NaN,13.9306457271282,399.572193368232,NaN,NaN,0.000178119620907963,NaN,NaN,NaN,10.3061936434523,371.986946184162,NaN,439.570351388001,137.910282634028,NaN,NaN,406.575575114095,27.5120467402083,NaN,827.469775525677,17.7159974101756,1082.33409305973
500,NaN,NaN,NaN,359.815697147414,429.242144210516,0.000179064520334152,NaN,0.000177828404149217,NaN,NaN,NaN,NaN,NaN,400.932547218371,NaN,NaN,NaN,NaN,NaN,556.90503627278,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,0.000145836477345672,NaN,NaN,NaN,10.0916515658245,NaN,NaN,NaN,NaN,NaN,NaN,454.807833276828,NaN,NaN,NaN,14.6988940679315,1228.03618333973
600,NaN,NaN,NaN,NaN,NaN,0.000146120763014021,NaN,0.000169933144747741,NaN,NaN,NaN,NaN,NaN,NaN,133.127534501528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9293574037378,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2801904821264,NaN
