t,pSTAT5_Obs,CISnRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_10_Obs,Compound_12_Obs,Compound_13_Obs
0,3.31123481190097,27.5226033422522,9.06142281920906e-06,9.702327821043e-06,0.903351111916181,3.51245382303754,-2.72687189276413,124.98334294473,-0.0803558433889017,27.6066089156652,-0.0929468991255648
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.9887168944169,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,2.8982584446657,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,123.903717080262,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,57.8181935020937,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,112.335540449365,NaN,NaN,NaN,NaN,9.63391234558841,NaN,NaN,6.30509523779352,4.07420769297544
9,53.8441784357118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.000177067483744547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.000143984538029056,NaN,NaN,NaN,NaN,53.8442007083333,NaN,NaN
15,NaN,334.737003200543,NaN,NaN,53.6026634941691,4.60222455003453,NaN,123.45026689672,NaN,449.998281950226,10.5612898527929
20,48.6191500130045,NaN,0.00042371517342372,NaN,NaN,4.38773460362305,187.207189715092,138.38224950495,43.7235158562585,NaN,NaN
25,NaN,683.639717256494,NaN,0.000460221338556848,51.966202351465,NaN,361.297311795347,NaN,44.1785673852873,1054.91015736304,13.8375985551432
30,42.610188049695,NaN,0.00048051224784968,NaN,50.020346319852,6.08673924557857,NaN,126.636374947311,NaN,NaN,NaN
35,NaN,917.775742253708,NaN,0.000483657604859261,NaN,6.15291229378006,652.906045666708,NaN,45.6323283116021,1504.35341599552,14.6825894696053
40,39.3203019542901,NaN,0.000435038108046078,NaN,44.1441712322664,NaN,NaN,123.779991810917,39.4259497195544,NaN,NaN
45,NaN,1006.9265559238,NaN,NaN,NaN,8.08365639547221,814.037297794066,NaN,NaN,1807.50518471801,15.6987152028828
50,34.3155805739537,NaN,NaN,0.000422601781085632,NaN,NaN,NaN,125.353554055385,38.7606890903266,NaN,NaN
55,NaN,NaN,0.000389837043322571,NaN,43.6873168354446,NaN,NaN,NaN,NaN,NaN,16.0256556753634
60,29.9035336816641,901.79135756553,NaN,NaN,NaN,9.45926340570451,925.67000166545,134.431617111766,35.2544600693164,1899.31762494358,NaN
65,NaN,NaN,NaN,0.000368320681541464,38.6496632637428,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,853.534273396842,0.000370678998875926,NaN,NaN,9.77034858139006,NaN,NaN,NaN,1802.68290290289,16.0325821886626
75,26.4165659658761,NaN,NaN,NaN,NaN,NaN,864.959725037574,131.672227826079,34.9223386776561,NaN,NaN
80,NaN,NaN,NaN,0.000299190017401643,32.0872718079052,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,726.897499932904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.3326201867741
90,20.7697211359941,NaN,0.000275089192272288,NaN,NaN,10.6974583425171,813.659995902685,129.950808712136,38.4501063711615,1562.9365020232,NaN
100,21.4479023598929,636.646714133761,0.000249384490718375,0.000233667832334781,30.311891300544,10.7325104408396,726.110443362508,128.197495059531,33.9602500339722,1399.92690718355,17.4472767128961
150,12.5957079813232,435.7391473945,0.000179463992468876,0.000170348092771758,25.4842042129211,10.9206349452119,498.40492592808,130.979682432967,30.2643344195595,927.852970562454,18.5284512103167
200,11.201407833885,365.877809902231,NaN,0.000133861335906897,23.4816809972104,NaN,349.229039783469,NaN,NaN,669.860305533885,15.7439666315355
