t,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs
0,1.54592663847049e-06,1.49095578179428e-07,220.935013238257,0.999002828059127,1.89498003573242,327.475159416348,192.286089380218,0.531124340646563,191.801639713449
10,NaN,2.4135544290011e-06,NaN,2.00824854093937,1.31323733481586,NaN,NaN,1.46445493245308,NaN
15,1.00226766182869e-05,NaN,213.860181544086,NaN,NaN,315.351232015586,202.840183766395,NaN,200.58054874697
25,2.14444676842842e-05,2.16205247571344e-05,NaN,17.9303159539029,-0.333825880991178,NaN,192.161514436286,38.1310116700796,NaN
30,NaN,NaN,199.293745154041,NaN,NaN,310.211788674226,NaN,NaN,NaN
35,NaN,2.96659312605526e-05,NaN,27.246016699077,4.72100998364091,NaN,NaN,NaN,176.280251855441
40,3.06563918606763e-05,NaN,NaN,NaN,NaN,NaN,223.153543344198,91.3753784112679,NaN
45,NaN,NaN,195.624112428449,NaN,NaN,337.217888104577,NaN,NaN,NaN
50,NaN,3.10288688211936e-05,NaN,54.7869387536723,18.9521926113981,NaN,NaN,116.316618520463,206.495528780773
55,3.40975365794257e-05,NaN,NaN,NaN,NaN,NaN,240.729404390884,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,340.729706945526,NaN,NaN,NaN
65,NaN,3.33251048682884e-05,199.506280318922,66.6112983541922,36.0121447920282,NaN,NaN,NaN,NaN
70,3.33186945954621e-05,NaN,NaN,NaN,NaN,NaN,255.327719925831,144.232276527446,222.479410888961
75,NaN,NaN,NaN,NaN,NaN,341.998298304231,NaN,NaN,NaN
80,NaN,NaN,NaN,72.0772794798563,51.8744091215651,NaN,NaN,NaN,NaN
85,3.04005102235325e-05,3.22592698132293e-05,210.673284520531,NaN,NaN,NaN,NaN,142.239148781808,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,253.739494490062,NaN,NaN
95,NaN,NaN,NaN,75.4699618928449,65.4210808435368,352.505405331377,NaN,NaN,183.868877904044
100,3.08076492184351e-05,2.99408209546632e-05,208.895097473752,73.9022319971394,65.9046153807983,318.229675813783,262.85489445163,139.821856573576,204.257499649128
150,2.51220353454815e-05,2.55954292645548e-05,222.081546243313,66.0332969027265,66.419038568258,332.334242689708,246.217440922789,128.161812528477,200.190249903309
200,2.13296690144482e-05,2.40895374289342e-05,204.48793800574,56.1591625175933,59.3425932950783,340.218939457144,219.560052100628,113.340813505997,213.47353363632
250,2.0148124354822e-05,2.05480646632052e-05,205.40332471773,50.1605271232572,52.4405693893846,312.138141375505,228.407120499686,98.5056472908981,200.1414727104
300,1.89785507728596e-05,NaN,224.248560180345,46.1993613003846,48.6939185020747,321.595775576935,211.690365426661,88.2530752276425,212.844038621614
