t,epo_level,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_6_Obs,Compound_12_Obs,Compound_13_Obs
34,2.5e-09,3.33619246570132e-05,4.79409399464238e-05,128.962647666136,-65.913811566635,1.91589532712539
34,2.5e-09,3.9328246461355e-05,4.1838730023577e-05,130.770576611043,119.717603516042,1.1499174791158
34,2.5e-09,7.61792900478759e-05,2.96913004479366e-05,133.33355316014,40.3245215958964,-0.0708243956714447
34,2.5e-08,0.000274916289942914,0.000322684323135352,124.756945147488,723.387314089609,10.1456982831987
34,2.5e-08,0.000314084872962767,0.000273988413759206,114.334075583811,869.634775497287,9.44336512019871
34,2.5e-08,0.000325165894595426,0.000281544422367664,115.936442396623,856.310436528433,9.26952069719559
34,1.25e-07,0.000711284352634966,0.000765205436340963,115.400922178621,2265.93596990447,22.2778893686193
34,1.25e-07,0.000717988724181009,0.000754644209307168,125.19278319748,2175.03210204026,23.1393100048131
34,1.25e-07,0.000749674277443826,0.000687656511712805,125.42347327816,2244.00992739934,23.4888543546555
34,2.5e-07,0.000784557883490789,0.000810931099636328,109.70495291197,2816.44101061612,27.0269865627605
34,2.5e-07,0.000792970555153969,0.000793724191210299,107.82628424335,2864.01717565991,26.2548139512389
34,2.5e-07,0.000797494499129953,0.000866887064428505,114.048191161499,2856.71064983115,26.3627780598887
34,1.25e-06,0.000918036322053271,0.000964229871407756,112.000976121219,3218.22542562724,29.9316418172599
34,1.25e-06,0.000924736487315134,0.000929943949530562,115.895430280471,3337.18580745887,31.4966375934132
34,1.25e-06,0.000930811154805619,0.000926128163888859,122.287085249401,3173.13806432441,29.620400242108
34,2.5e-06,0.000885928914953247,0.000974462109523426,117.855397827108,3313.38254119894,30.4672631596262
34,2.5e-06,0.000932715410504461,0.000910614100102368,111.449156864849,3309.61126981257,30.5843720946726
34,2.5e-06,0.000944202328606424,0.000918902657585156,112.668374145838,3398.44024037715,30.6290881375331
