t,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_2_Obs,Compound_3_Obs,Compound_5_Obs,Compound_6_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs
0,-5.93518115222303e-07,-8.93970024792394e-07,192.545900507537,3.69342721781926,-3.28736934568326,342.833012391558,159.343229808867,3.14259360259554,194.470216470129
10,3.49401934560159e-06,NaN,NaN,-1.20428840183003,NaN,NaN,NaN,0.833919871820914,NaN
15,NaN,7.50419408917006e-06,192.267792988691,NaN,1.35205537901175,320.537429866866,174.339556462705,NaN,227.956484454871
20,1.42433220403684e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,16.2695458144323,4.03092275250619,NaN,194.641691336322,44.973068365409,NaN
30,2.69522019902635e-05,2.64897547620358e-05,212.607149312246,NaN,NaN,329.392872910998,NaN,NaN,215.668218839868
40,NaN,NaN,NaN,31.7632504775625,11.4837982824736,NaN,234.958287555052,86.8903620313418,NaN
45,3.27812423293308e-05,3.12610269024465e-05,186.677659828496,NaN,NaN,305.753571139473,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198.169939238206
55,3.36739395113154e-05,NaN,NaN,56.8968623648304,NaN,NaN,238.745941412601,119.093397077445,NaN
60,NaN,3.248179692119e-05,NaN,NaN,31.4305093869339,NaN,NaN,NaN,NaN
65,NaN,NaN,208.494076446681,NaN,NaN,322.987491948293,NaN,NaN,187.261698411425
70,3.22556997630156e-05,NaN,NaN,70.3818946106139,NaN,NaN,237.11445521315,142.873489149205,NaN
75,NaN,NaN,NaN,NaN,44.8902924389603,NaN,NaN,NaN,NaN
80,NaN,3.20521305863102e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,3.03611353525212e-05,NaN,199.514811959878,78.1528330698237,NaN,328.308581513511,NaN,143.838544905955,205.728799900933
90,NaN,NaN,NaN,NaN,NaN,NaN,236.446549451388,NaN,NaN
95,NaN,NaN,NaN,NaN,63.1564533251035,NaN,NaN,NaN,NaN
100,2.89928216626624e-05,2.91263867123726e-05,200.141328733522,78.045599357785,68.1303270850441,307.980375399428,237.595083239198,139.159635760599,200.259695152403
150,2.53205473274738e-05,2.4039995799101e-05,208.333427671812,69.94981383957,65.9259123400269,334.416501003997,223.185255213211,117.999064440824,225.517972566115
200,2.15969645620016e-05,2.30536991519785e-05,215.730159339989,58.6687666073032,58.1444727256888,310.895566428988,224.637376819048,101.758738456992,205.404274554259
250,1.97035809317851e-05,1.9364990532369e-05,194.255245100809,49.4420155203611,52.9876244965615,339.740429713969,224.898529632343,96.1319937236156,213.116327402221
300,NaN,2.03789460470412e-05,190.439822004983,45.6988290601392,45.6812249362538,316.705472020237,232.515699100694,93.128246329207,206.636787879404
