t,pSTAT5_Obs,CISnRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_10_Obs,Compound_12_Obs,Compound_13_Obs
0,0.744002203252462,-20.0303948187508,8.91035121521515e-06,-4.74215917912484e-06,4.94563168853169,3.98107380532277,-21.9890939352707,124.086059769769,-1.13684749948107,-56.2786314205832,-1.23476565379058
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.632593514008,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,3.26605751580015,NaN,NaN,NaN,NaN,NaN
7.5,53.8649344758517,NaN,NaN,NaN,55.3972316240865,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,49.210332841142,NaN,NaN,NaN,NaN,NaN,NaN,54.82557763899,62.6223277865627,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,24.6273238791627,NaN,NaN,NaN,4.87943883887472
10,NaN,NaN,NaN,0.000129321649613135,NaN,NaN,NaN,122.592454529812,NaN,NaN,NaN
15,51.5401769936043,307.074906499092,0.000347946375826479,NaN,55.5102423939494,4.08395668411311,87.0070517959792,NaN,53.357808123539,447.072591861641,NaN
20,NaN,NaN,NaN,NaN,NaN,4.88246689617878,NaN,124.237094902473,NaN,NaN,11.719464664303
25,44.4762792982983,709.503438932513,0.000478738878042216,0.000435364744921202,48.5018717047748,NaN,308.847241890564,122.561039464312,47.513818458792,984.382372694423,14.2035166873619
30,42.9830588782208,NaN,NaN,NaN,48.5779818760624,6.08773766009256,NaN,119.668073760705,NaN,1229.57071411459,NaN
35,NaN,894.308151873077,NaN,NaN,NaN,6.19254882855589,612.751704382769,NaN,41.3776263208236,NaN,14.8057232193565
40,39.3697060962541,944.683578734475,0.000457194236398499,0.000450721654785924,45.1799904266029,NaN,NaN,112.909014796282,NaN,1615.02284835904,NaN
45,NaN,NaN,NaN,NaN,NaN,7.87093372517819,809.226427657423,115.00936334045,40.0633580341804,NaN,NaN
50,33.3339506003453,NaN,NaN,0.000418912717965557,43.8134129143397,NaN,NaN,NaN,NaN,1814.24815269238,15.6115842164922
55,NaN,974.138885434926,0.000420232523090289,NaN,NaN,NaN,NaN,122.835872868774,37.6997933240414,NaN,NaN
60,NaN,NaN,NaN,NaN,40.0337081397907,9.72130914243244,914.916012523985,NaN,NaN,NaN,16.4146606480496
65,29.163926434422,891.010628844004,NaN,NaN,NaN,NaN,NaN,137.036651097053,NaN,1797.72167323636,NaN
70,NaN,NaN,0.000347993965757529,0.000355296753328312,NaN,NaN,925.59622641368,NaN,33.0021520473091,NaN,NaN
75,25.8997785394821,NaN,NaN,NaN,34.1204934155343,10.0985299542117,NaN,NaN,NaN,1804.15880329434,16.6531720908969
80,NaN,758.02758910021,NaN,NaN,NaN,NaN,NaN,125.200536395795,NaN,NaN,NaN
85,NaN,NaN,NaN,0.000286716412995651,NaN,NaN,NaN,NaN,34.0201378583208,NaN,NaN
90,24.015293310878,NaN,0.000273303447900215,NaN,33.0529831093503,10.4355908347891,834.408577019049,130.44130212829,NaN,1565.84214413071,NaN
95,NaN,658.818033335135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3371463319627
100,20.897735092116,697.120742209617,0.000241021466901032,0.000269932723731564,32.3222550178748,10.9874154336985,748.284455444132,128.308910270414,32.9954276450644,1442.94503574175,16.7630607826105
150,14.6591932877971,379.85491880198,0.000144762752038423,0.000173606108231664,24.4863725208992,NaN,509.343815250414,136.128371079937,30.175288729215,917.250204322635,17.6430742954903
200,10.6475411588234,333.123954642865,0.000142775363974053,0.000137834299391183,23.3571464366853,NaN,341.495964965324,NaN,26.5762038352426,674.887003590061,15.9837695327515
