t,pSTAT5_Obs,CISnRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_10_Obs,Compound_12_Obs,Compound_13_Obs
0,-0.183565389893662,-4.25432636382292,1.32801447186636e-05,1.09627247210083e-05,0.891749390065642,4.01923091687964,-6.21910932815942,129.430219764651,-1.56615892078206,49.4871249126654,-0.321772276168656
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.938222198189,NaN,NaN,NaN
7.5,83.8585289549936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194.085466506538,NaN
8,NaN,91.8634736954676,NaN,NaN,NaN,NaN,NaN,NaN,86.3084151763433,NaN,6.58531729800416
8.5,NaN,NaN,NaN,NaN,91.3801804104392,NaN,30.8786074881504,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,2.48952984818939,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.000268748503709861,0.000226770257439693,NaN,NaN,NaN,117.512086535998,NaN,NaN,NaN
15,77.3571316680612,534.961375657806,NaN,NaN,85.0837245884161,NaN,NaN,120.912162143821,74.7300108417713,726.984540504593,14.9533634820591
20,NaN,NaN,NaN,NaN,NaN,5.47145231558895,327.890650737302,121.347553439629,NaN,NaN,NaN
25,71.396459939131,1049.81581356747,0.000726167888204673,0.000720928621361951,75.9958043442695,5.62072315631837,459.978459789786,111.762304350683,72.0460295692824,1763.53200009281,21.4380900626532
30,63.7892762715345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020.01854857396,NaN
35,NaN,1353.80819432885,0.000700797392246678,0.000720900448777134,67.3536010629904,7.71558406962721,994.239431746391,121.94484704059,66.4420524118231,NaN,20.5136080779456
40,59.3556382730139,NaN,NaN,NaN,NaN,NaN,NaN,116.993397750646,NaN,2483.4509792789,NaN
45,NaN,1486.11353843097,NaN,NaN,62.6315297443456,NaN,1265.15992414862,NaN,59.066770659495,NaN,22.0334263305512
50,48.0742763055227,NaN,0.000597462906244338,0.000623034880607026,NaN,9.80616406587081,NaN,118.251663521742,NaN,2946.46462451731,NaN
55,NaN,1433.89206042064,NaN,NaN,NaN,NaN,NaN,NaN,50.1411450553202,NaN,22.6908504943351
60,NaN,NaN,NaN,NaN,51.3255835840301,12.0278752340431,1439.38984091432,126.72163231665,NaN,2745.60291511024,NaN
65,40.7060943009272,1324.62020163042,0.000519519336920931,0.000513540631300038,NaN,NaN,NaN,NaN,52.8402860401333,NaN,NaN
70,NaN,NaN,NaN,NaN,52.5753841634893,NaN,1331.0724548398,122.969668925305,NaN,NaN,22.83190109155
75,NaN,NaN,NaN,NaN,NaN,13.2632517633129,NaN,NaN,NaN,2486.89803043307,NaN
80,36.9725353716927,1066.60654522819,NaN,NaN,NaN,NaN,NaN,121.394911414092,46.4192108002195,NaN,NaN
85,NaN,NaN,0.000400862210777253,0.000416694899615069,NaN,NaN,1207.12717903241,NaN,NaN,NaN,24.1047256006371
90,NaN,NaN,NaN,NaN,42.6833559547816,13.5694926971343,NaN,NaN,NaN,2227.26428257563,NaN
95,31.9360939451665,888.311635299161,NaN,NaN,NaN,NaN,NaN,126.470762530328,NaN,NaN,NaN
100,27.3922885883614,886.558229416782,0.000350570812093362,0.000345270989304953,43.0938692229207,15.3475917116072,1050.63901133624,119.949743115309,40.1123681763054,1900.41510127902,25.1062810691571
150,18.7121300611853,529.525101081719,0.000232459098260321,0.000232168846489972,33.7744499397458,14.182294649955,670.996139733884,NaN,39.3255768259978,1259.38578592364,24.8435235968843
200,NaN,388.537276744925,0.000181511355778183,0.00016518622706875,28.0324574648629,12.8043601046579,475.884387758881,NaN,NaN,982.457149145544,NaN
