t,SOCS3nRNA3_Obs,SOCS3nRNA5_Obs,Compound_6_Obs,Compound_12_Obs,Compound_13_Obs
0,-2.72498355297634e-05,5.46034089054444e-05,130.968502593662,236.039256605971,-1.39998706626147
6.5,NaN,NaN,122.631555659033,NaN,NaN
7.5,NaN,NaN,NaN,243.096714673741,NaN
9.5,0.000570129668383418,NaN,NaN,NaN,16.3454872216775
10,NaN,0.000473595735512014,NaN,NaN,NaN
15,NaN,NaN,111.007303959413,1067.88020448602,NaN
20,0.000900916002203352,NaN,113.909485922555,NaN,27.4684084538437
25,NaN,0.000930657194882418,110.468964613264,2493.17272831941,NaN
30,0.000990997224196089,NaN,NaN,3028.30331924202,29.7264464669513
35,NaN,0.00087525345953294,114.735858650546,NaN,NaN
40,0.000883706921473837,NaN,NaN,3538.75117484074,30.1121686825895
45,NaN,NaN,120.137682910232,NaN,NaN
50,NaN,0.000830817228602094,116.569237495259,3559.49806766133,NaN
55,0.000728782020973997,NaN,NaN,NaN,30.9248805255877
65,0.000669995023576717,0.000721791470562078,118.617446484898,3510.88775346179,NaN
70,NaN,NaN,NaN,NaN,32.5606006688446
75,NaN,NaN,133.422863321288,3346.90333646685,NaN
80,0.000601802068478969,NaN,NaN,NaN,NaN
85,NaN,0.000585633427587911,NaN,NaN,33.3237103483529
90,NaN,NaN,131.325989169209,3108.72942292716,NaN
100,0.000510902040832621,0.000470024141486974,131.232477946325,2787.04372479389,34.1830804883216
150,0.000359759956502097,0.000415905278216988,127.02771812786,2157.97235287967,37.9649456237823
200,NaN,0.000344793439284134,NaN,1852.33437519726,38.623721068589
