t,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me1K36me3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.586612472624561,0.00436496522583387,0.206393687320997,0.195974700476928,0.181329757055897,0.164742851474257,0.699395349499785,0.767759083441126
3,NaN,NaN,NaN,NaN,NaN,NaN,0.63747950908708,NaN
3.5,0.571237597188661,0.00399047068224377,NaN,NaN,0.156784239625138,0.155765050341157,NaN,0.844178821766947
4,NaN,NaN,0.213121577275615,0.215423062667954,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,0.158686380372027,NaN,0.638915355512183,NaN
7,NaN,NaN,NaN,NaN,NaN,0.144581946445496,NaN,0.81680737410832
7.5,0.540239588496274,0.00375849359192598,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.219234553803629,0.221726925495843,NaN,NaN,NaN,NaN
10,0.616174788322256,0.00344685038167674,0.204852867502263,NaN,0.134157671465244,0.134795740326283,0.659932173134529,0.85509747212376
15,0.563945822884679,0.00359984853398572,NaN,0.224137683132882,0.12139809215328,0.112471524902126,0.718104526106294,0.801411927978636
20,NaN,0.00366735499697439,0.229153429489422,0.214376880333979,0.113678520882135,0.10715152597827,0.700292870648278,0.846113809922924
25,0.542908878741237,0.00355939864073787,0.216086725852056,0.247316867813472,0.107680248656028,0.0869181844066091,0.677257363126451,0.871771715348237
30,0.5964047208805,NaN,0.249692300474316,0.245127131166638,0.0914978343837621,0.0971432803533793,0.649196576237285,0.906115766612116
35,NaN,0.00376216911970916,NaN,NaN,NaN,NaN,0.701361095152503,NaN
40,0.680992614015271,0.00426647708158555,0.262013821617241,0.239183214571189,0.0755383772180572,0.0662214356668516,0.680342002921421,0.898307616665035
50,0.685078924655003,0.00380095220807878,0.259182960618746,0.254837651836921,0.0628061253453636,0.0612361411665739,0.677479030305223,0.817864543790083
60,0.603224293162887,0.00385547942741083,0.253230773310283,0.251034864639981,0.0508232651634682,0.0450926133557588,NaN,0.878560971443135
