t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,652870.905046396,0.0195381976935588,-0.000674286708324562
55,6600795.15263812,NaN,NaN
100,7812460.69315435,NaN,NaN
200,2935862.76000821,NaN,NaN
250,3180351.36725221,0.0134226632110036,0.0156202566489638
300,1286029.97814832,NaN,NaN
400,237204.369836222,NaN,NaN
500,569364.288270598,NaN,0.00391694697160245
550,NaN,0.0174285217071703,NaN
600,504670.010505359,NaN,NaN
750,-490889.061085872,NaN,0.00104282129388014
850,NaN,0.0288354552337332,NaN
950,-1138466.68299174,NaN,NaN
1000,NaN,0.0263350352332995,0.00073389180124227
1500,NaN,0.019403749808897,-0.000132683586014188
2000,NaN,0.0207772046140944,-9.44369643008908e-06
2500,NaN,0.018948280381514,0.00010700207075142
3000,NaN,0.0170454365504813,0.000355816206263066
3500,NaN,0.0294926804920209,NaN
