t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,-129073.881265283,0.0229943723355256,0.00090803525658583
85,3765574.79386356,NaN,NaN
150,3756743.94589992,NaN,NaN
250,2070064.48454752,NaN,NaN
350,1357428.52553398,NaN,0.0122367520977824
450,NaN,0.0206624187685246,NaN
500,926583.944153502,NaN,NaN
600,36534.0109591287,NaN,NaN
700,NaN,NaN,0.00497453345598687
750,203904.690469946,NaN,NaN
850,NaN,0.0132478254987175,NaN
950,16837.2869604534,NaN,NaN
1000,-181848.061449933,NaN,0.000956249318412139
1500,-138700.748375883,0.0289434055975528,0.000145586677979731
2000,NaN,0.0187289866831886,0.000380752790667172
2500,NaN,0.0272853887618048,0.000368085809291086
3000,NaN,0.0213258473832287,0.000813378096936662
4000,NaN,0.0263002152391028,-0.000240406570929275
4500,NaN,NaN,-0.000185814953655687
5000,NaN,0.0318239053998432,NaN
6000,NaN,0.0228375709069482,NaN
