t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,118924.774893267,0.0269969100993101,5.8653435606313e-05
40,12613934.5824721,NaN,NaN
75,11793422.6624988,NaN,NaN
100,11254193.1687384,NaN,NaN
150,4975547.79023487,NaN,NaN
200,922932.700393189,NaN,NaN
250,83571.1752069548,NaN,0.012067670329505
300,2082459.93637308,0.0197486495322947,NaN
400,-676361.209292346,NaN,NaN
450,206182.140769682,NaN,0.00248217073176502
550,-628892.284721461,NaN,NaN
650,NaN,0.0290301586970627,NaN
700,342478.399144985,NaN,NaN
750,NaN,NaN,0.000549646367683209
1000,NaN,0.0199272344687612,-0.000246346159086572
1500,NaN,0.0231056624062685,0.000401442457689277
2000,NaN,0.019622523840977,1.46604860138528e-05
2500,NaN,0.0244643679889135,0.000111105178508095
3000,NaN,0.0278482235120333,0.000468572364947707
3500,NaN,0.0191521304589928,NaN
