t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,20826.3090031655,0.019079785633451,0.000830358700685422
150,1036633.17480749,NaN,NaN
350,898925.403970383,0.0148240527844651,NaN
450,NaN,NaN,0.00765320643596966
550,484974.876078601,NaN,NaN
650,NaN,0.0126424523226966,NaN
750,207076.045173388,NaN,NaN
900,NaN,NaN,0.00336505736034597
1000,342820.186545471,0.0292911373783769,NaN
1500,315469.660953976,0.0095082383846851,0.000638355092948188
2000,NaN,0.0283001776310877,0.000220598476587615
2500,NaN,0.0283947182606005,0.000131852110650081
3000,NaN,0.0232851221502674,0.000113001827908674
3500,NaN,0.0281163890828906,NaN
4000,NaN,NaN,-0.000330701998022475
4500,NaN,0.0221562241897303,NaN
5000,NaN,0.0259258755111493,0.000518344177368011
6000,NaN,NaN,0.000109180562203115
