t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,-4189.55667592372,0.0315646859664554,-1.40892263763589e-05
150,462643.486366617,NaN,NaN
350,325812.744999334,NaN,NaN
400,NaN,NaN,0.00467500106302752
450,NaN,0.0177189919528089,NaN
500,266767.992564255,NaN,NaN
700,112353.537149541,NaN,NaN
750,NaN,NaN,0.00296758919896872
850,NaN,0.0238288303301488,NaN
900,117163.929941279,NaN,NaN
1000,128711.735069205,NaN,0.00197721835640661
1500,84062.7975132619,0.0177293182593787,0.000751334729950064
2000,22380.7743275024,0.0200463948701166,0.000403942431331022
2500,-1780.48036633639,0.0263625986234282,0.000189666048261117
3000,52945.3079366103,0.0209904494301968,NaN
3500,-4737.96032367412,NaN,-9.17370729538572e-05
4000,NaN,0.0184633403755523,4.57087808885388e-05
4500,NaN,0.0261093858686384,NaN
5000,NaN,NaN,0.000179193564637867
6000,NaN,0.0202884628194478,-0.000266488354604721
7000,NaN,0.0173599549255232,NaN
