t,pEGFR_Obs,Akt_Obs,pAkt_Obs
0,88799.6742583522,0.0228774065094185,-3.5736467539043e-05
40,17194086.788752,NaN,NaN
80,12623966.8196084,NaN,NaN
150,4027016.52616759,NaN,NaN
200,353094.371652099,NaN,NaN
300,-748922.471859863,0.0171492403914076,0.00559170491547476
350,375747.119384211,NaN,NaN
400,-150513.779954277,NaN,NaN
500,-282919.100425042,NaN,NaN
550,NaN,NaN,-0.000150747234813276
600,-1165784.45814698,NaN,NaN
650,NaN,0.0239606675484246,NaN
700,-495315.321550102,NaN,NaN
850,-362865.839056286,NaN,NaN
900,NaN,NaN,1.68755411017206e-05
1000,NaN,0.0245167225367112,NaN
1500,NaN,0.0174037445332216,0.000162475713884488
2000,NaN,0.0248738353341427,0.000473270882826084
2500,NaN,0.0197732746415023,NaN
3000,NaN,0.0223602351370485,3.10411668850687e-05
