t,X_protein_Obs,Y_mRNA_Obs,GFP_mRNA_Obs
0,-216.289520426921,1940.95295771189,5.25291974515373e-06
5,NaN,NaN,1.25242723590999e-07
10,NaN,NaN,3.79940359412298e-08
15,7244.02118992678,NaN,1.71143545616268e-08
20,NaN,12.0013946953704,-2.81664495580416e-08
30,NaN,NaN,-5.53602935637431e-08
35,4029.94624262564,NaN,NaN
40,NaN,-0.640624902709517,-1.02150335458227e-08
50,2432.25062590831,NaN,9.936629474103e-09
60,NaN,23.093540614586,5.55687051453117e-08
70,1950.29133814677,NaN,NaN
85,NaN,10.3725805093168,NaN
90,1217.28709243492,NaN,NaN
100,1453.69785226053,69.6009104725363,NaN
150,393.96548022936,-25.9255567178713,NaN
200,2211.27220287477,13.4145656373917,NaN
250,2099.61849272996,-16.4180906420923,NaN
300,748.016134515939,-61.8060430650775,NaN
350,NaN,-29.1314242264813,NaN
400,893.128494622004,NaN,NaN
