t,RAF_Obs,Compound_1_Obs,Compound_2_Obs
0,0.864739840876218,1.50489228241468,1.6747934244967
0.25,1.25117393438584,NaN,1.74921593286849
0.45,0.911192552115101,NaN,NaN
0.5,NaN,2.09831369558688,2.80001341272005
0.7,0.794603689554199,NaN,NaN
0.75,NaN,NaN,2.60505011490691
1,1.57827535143224,1.94432922400013,2.59388263920652
1.5,1.14724403947921,2.75032727312812,2.19573716333489
2,0.569061514447872,2.57185676114984,1.99680905423293
2.5,0.878307675640929,NaN,1.49879732996309
3,1.22019641165666,2.49124111313214,2.27064774897657
3.5,NaN,2.17808726505182,2.21073491057702
4.5,NaN,2.2135598286963,NaN
5.5,NaN,1.85097447757288,NaN
6.5,NaN,1.84258251343591,NaN
8,NaN,2.96039530802678,NaN
