t,RAF_Obs,Compound_1_Obs,Compound_2_Obs
0,1.07769656011642,1.95541187945877,1.78784776377552
0.2,1.0418285869803,NaN,NaN
0.3,NaN,NaN,1.79657722517925
0.45,0.872635030692832,2.78095294118101,NaN
0.55,NaN,NaN,3.14332666935243
0.65,1.02180144749763,NaN,NaN
0.85,NaN,1.5451994318205,2.01607186061283
0.95,0.970459997622455,NaN,NaN
1,0.909506308673616,NaN,2.39279375818625
1.5,1.16291563479495,2.86379884067021,2.08441645806827
2,0.978114011279762,1.84473698248073,2.42449396377923
2.5,1.02597081381415,1.96580607517168,2.64212802041738
3,0.763809528604644,1.06902598827411,1.68459026925249
4,NaN,1.52718609808165,2.34427646588763
4.5,NaN,2.28781696599274,2.25855077792226
5.5,NaN,2.82972024724628,NaN
7,NaN,1.95664277639911,NaN
