t,RAF_Obs,Compound_1_Obs,Compound_2_Obs
0,1.07066811991865,2.53766454695405,2.24310325148649
0.2,NaN,2.80209753886807,NaN
0.25,NaN,NaN,1.04954889782564
0.35,0.947250300885869,NaN,NaN
0.45,NaN,2.19990374619923,NaN
0.5,NaN,NaN,1.27394531525677
0.7,0.960183865713996,1.54678126674003,NaN
0.75,NaN,NaN,2.53482388882894
0.95,NaN,2.45757013823593,NaN
1,1.15300070946876,NaN,0.84840812350305
1.5,0.663313428850453,2.4715136790837,2.50240615160093
2,0.724447153720351,1.86968797140332,1.8498803722669
2.5,0.722333190551828,NaN,1.76078195199394
3,NaN,NaN,2.21881002286112
3.5,0.768575390940597,NaN,NaN
4,NaN,NaN,1.90253138500925
4.5,1.58233753983657,NaN,NaN
