t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs
0,2.95399358199591,0.135292171805493,142.010751483884,-1.84075270366814,2.55396916228269,3.3897907022545
5.5,NaN,NaN,NaN,NaN,10.9039003830093,32.9711313935547
6,2.62129368419504,NaN,NaN,5.28013837565156,NaN,NaN
9,NaN,NaN,98.5736714130649,NaN,NaN,NaN
10,2.75899264254568,0.464126010514615,NaN,12.5579186929806,-46.700315811091,6.05355822422347
15,NaN,NaN,NaN,NaN,68.478172789245,27.6618770827304
20,2.89014241650904,NaN,108.639766494086,21.8009786821541,135.3907710101,NaN
25,2.58144446550581,0.779883262049628,NaN,22.1617120101563,NaN,194.848620779962
30,2.59102277101951,NaN,78.8703575331417,NaN,310.053264195444,223.212809007109
35,NaN,0.849954194583625,NaN,20.0056272466389,359.940692335608,NaN
40,3.13935927359221,NaN,105.274784598741,16.8333081789618,NaN,344.426874497979
45,NaN,NaN,NaN,NaN,343.573714153818,NaN
50,3.36612698846849,0.994180914320463,134.456956855521,18.255735340788,NaN,390.891245812651
55,NaN,NaN,NaN,NaN,361.193131452895,NaN
60,2.53635784584786,1.06727554846638,141.510762526338,NaN,NaN,377.510515999413
65,NaN,NaN,NaN,12.4283104027585,320.29796176082,NaN
75,2.87409689722066,NaN,101.063670230813,7.4713010953553,259.064684096687,261.64802410642
80,NaN,0.823344062888517,NaN,NaN,NaN,NaN
90,2.93632507785396,NaN,NaN,6.70273695402777,204.871996194707,NaN
95,NaN,NaN,113.435246057668,NaN,NaN,214.697822318686
100,2.60499511702714,0.90356279201886,121.99890393192,6.98939676191941,151.157253710856,157.898472315225
150,NaN,1.09627889219873,138.844849087885,5.89795158993691,73.1444883174643,NaN
200,NaN,1.25137582689507,147.82508064275,NaN,NaN,NaN
