t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,SOCS3nRNA4_Obs
0,3.12853624530114,-0.0227415216248548,-0.0603611815677781,154.831702373619,1.256217024653,-36.9241343738671,-35.5954158817589,-19.7877920471392,-14.0018544487798,-0.51101952661496,5.18917312513395e-05,-0.000708155205070458,-3.19970833582e-05
20,NaN,NaN,NaN,71.3642417540107,32.2047155240282,477.141220392408,326.866081364952,162.263660530631,NaN,2.43551442620887,NaN,NaN,NaN
25,2.56288192817269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,0.191338181482231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00206611151741888,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,561.576517386974,NaN,431.183938641003,NaN,NaN,0.0398247965931019,0.00225300486605458
40,NaN,NaN,0.306800628445113,NaN,NaN,630.632906180556,NaN,599.176070061029,NaN,NaN,NaN,NaN,NaN
45,3.14976242124507,NaN,NaN,108.774603965596,27.8272062558651,NaN,NaN,NaN,NaN,3.21375454707642,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,578.678778870331,NaN,NaN,NaN,0.00173974566994527,NaN,NaN
60,NaN,0.132384804970349,NaN,NaN,NaN,453.001044816228,NaN,577.164114290122,NaN,NaN,NaN,NaN,NaN
70,2.44835656508906,NaN,NaN,132.061558284862,20.3212052534962,NaN,NaN,NaN,NaN,7.93850967046573,NaN,NaN,0.00129665562638148
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,436.764356695921,NaN,NaN,0.0777446889679271,NaN
80,NaN,NaN,0.322715982804104,NaN,NaN,NaN,383.396365311454,415.280469758329,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,301.322338476202,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00097119764570202,NaN,NaN
95,2.14677452935399,0.142948985658521,NaN,133.564178727238,10.0738725102638,NaN,NaN,NaN,NaN,12.8480348715171,NaN,NaN,NaN
100,NaN,NaN,0.375017348933461,126.183341413119,NaN,230.493558908239,297.312087669572,245.516106752216,216.4197317428,10.8260685612177,0.000753725215235288,0.0725098523774702,0.000742841063884915
150,2.9559020257812,0.161716668336559,0.462275911562792,104.528759809705,3.42947766772869,111.942917022093,109.624505749701,120.926671090282,198.61297718704,12.7790720817706,0.000497314549306789,0.0560075698436223,0.000402269217604283
200,2.07390499409306,0.150678476879883,0.409141174874395,146.908797285169,7.9984476058122,155.933422861104,128.514849854837,172.308209757858,129.711363629183,12.2756850525117,0.000316373315590526,0.0417639932599473,0.000435018581189522
250,2.37887494239369,0.133375021332751,NaN,111.703745739461,NaN,110.33371393607,181.372591091952,98.0019095534203,104.056658153216,13.7768219377453,0.000634526741020247,0.0424817060135873,0.000473323738136023
300,2.9247607780077,0.16884328130606,0.503682905622932,133.947563914192,6.02725351029177,134.623043486241,71.1056290766509,120.370211575311,NaN,10.772346044637,NaN,NaN,0.000430486529633847
350,2.66655116218599,NaN,0.50954631883634,121.927299855836,NaN,NaN,NaN,NaN,99.532058841519,12.9430912336342,0.000433222982188652,0.0341150551993116,NaN
400,NaN,0.149488488951825,0.475425720290979,134.763155247739,NaN,NaN,NaN,NaN,164.745955104496,NaN,NaN,0.034348628026379,0.000206975545686291
500,NaN,NaN,0.484864479646529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277906487400811,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102.104325254378,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0340517639028875,NaN
650,NaN,NaN,0.455173238923833,NaN,NaN,NaN,NaN,NaN,147.528312454447,NaN,NaN,NaN,NaN
750,NaN,NaN,0.544609514427226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
