t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA3_Obs
0,2.9185176200021,-0.018043358288048,0.00204968498351224,141.191945631578,0.0695014538256849,-0.262567047812339,0.0292697274725491,0.280480691751664,-0.268916731393693,-8.5511275074215e-06
10,NaN,0.173276528012006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,3.28126128214462,NaN,0.051427867007052,124.408713978239,0.150001490690599,0.775890007584907,0.565837965013151,0.101740603927268,0.212500935001691,4.18249184718332e-06
25,3.14518707321542,0.144962063262972,0.0838440593781209,132.908443349434,NaN,5.46530645164692,1.48063671527789,2.60395606042622,NaN,3.37768983165557e-05
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.49876363384095,NaN
35,NaN,NaN,NaN,NaN,0.732409413927471,NaN,NaN,NaN,NaN,NaN
40,2.83209459215534,0.101795738317437,0.124210436377286,148.304523979986,NaN,14.2472531028367,8.56660025157004,6.97951468638932,NaN,4.52282916312787e-05
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.42904605851255,NaN
50,NaN,NaN,NaN,NaN,0.753876952905354,NaN,NaN,NaN,NaN,NaN
55,2.93613919712037,0.0703057624815789,0.133189448879528,96.636082237499,NaN,16.6438144976713,13.800184886173,11.9726411014818,NaN,5.8113208460636e-05
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4077271548268,NaN
70,NaN,0.0809629221136819,NaN,132.187082532828,0.992685379073944,16.7398948334239,15.588076083268,15.4597142262044,NaN,6.52574045175959e-05
75,3.34097481663326,NaN,0.153415625117541,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7837258387838,NaN
90,NaN,0.0788916909970157,NaN,139.452286239824,NaN,14.9966919941694,17.4768462284336,17.2396843648729,NaN,5.54143257094117e-05
95,3.03202355812649,NaN,0.164379535569627,NaN,0.819828417083055,NaN,NaN,NaN,NaN,NaN
100,3.0972982111622,0.067122711706,0.185381308783056,144.930183042681,0.86907850097299,13.8634075592541,16.0108506579329,15.9987635427422,15.5105337155959,5.24104677190319e-05
150,2.79049036632158,0.0568596393247297,0.164945029194446,150.319032719119,0.583947162439948,12.9594101591455,11.995863902247,13.1316225398602,12.3556303350166,4.10704002143477e-05
200,2.58922995892322,0.0718296796063064,0.194609331810417,149.480181176881,0.587927031766927,9.6155738065782,10.4846282353524,11.9739539690156,10.3889524998855,3.47515661291813e-05
250,NaN,NaN,0.194816075410538,143.521957863981,0.491112128017774,9.3111256637436,9.41202618588167,10.3501144787044,11.4441177407787,3.16646743594538e-05
300,NaN,NaN,0.216488534522984,NaN,0.508627005286663,10.333349669015,10.6065254722266,10.3535986478433,9.50623066911195,4.82111248136666e-05
