t,epo_level,CISnRNA5_Obs
11,2.5e-09,-0.327819749540182
11,7.905e-09,-1.74791589680496
11,1.25e-08,0.340038144084275
11,1.75e-08,-0.596353119867127
11,2.5e-08,-1.11161368702355
11,2.5e-08,0.00654975773740873
11,2.5e-08,1.37854981727315
11,3.95e-08,0.916896391695293
11,7.9e-08,2.86132711100101
11,7.9e-08,3.98171463733355
11,7.9e-08,4.74251825619484
11,1.25e-07,4.93601078523338
11,1.7675e-07,7.40818897615967
11,2.5e-07,9.49815498911144
11,2.5e-07,11.4931857079191
11,2.5e-07,11.7493003183784
11,7.905e-07,21.5321118216782
11,2.5e-06,27.6331328976727
11,2.5e-06,28.2258339316563
11,2.5e-06,28.6639477210887
