t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs
0,2.90965428365374,0.00816253164841186,137.561823747159,3.9533417070537,52.4957015439492,5.7464531652366
5,NaN,NaN,NaN,NaN,30.4471615624798,NaN
5.5,NaN,NaN,NaN,6.09310819506762,NaN,38.8494871638902
6,1.62270584406939,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,88.0401192101739,NaN,NaN,NaN
10,1.96077378734549,0.0821187453169527,NaN,16.3176333597179,-26.0143460850491,-26.6978210741511
15,NaN,NaN,66.6180493501163,23.8045621161612,58.4318441362632,60.2316703014923
20,2.76932198639838,0.273665959838635,NaN,NaN,214.32405107694,99.4664927622998
25,2.92225905717678,NaN,71.2930176704284,30.7779637264961,352.167669513392,NaN
30,NaN,0.284725966355798,NaN,35.8640994926053,NaN,315.924295139451
35,3.07738578116107,NaN,89.137183424441,NaN,528.608204112756,495.193152049066
40,NaN,0.30400105870676,NaN,33.9279102616962,591.359581111495,NaN
45,2.68602682016164,NaN,85.9137220156426,30.6438479427458,NaN,509.010688768958
50,NaN,NaN,NaN,NaN,640.8104294562,593.972264991702
55,3.09109487426265,0.348644318911936,96.243442290669,18.6457774091502,NaN,NaN
60,NaN,NaN,NaN,NaN,582.533178846504,587.292405735505
65,2.37969022667224,NaN,123.085672844877,NaN,NaN,NaN
70,NaN,0.343722359335638,NaN,17.1661073989485,490.389708419809,NaN
75,NaN,NaN,NaN,NaN,NaN,412.791799410997
80,2.78381834433635,NaN,112.972003981792,18.6573391338679,NaN,NaN
85,NaN,0.388750043257794,NaN,NaN,332.444007692662,NaN
90,NaN,NaN,NaN,NaN,NaN,379.184178971455
95,2.91250027357076,NaN,137.132038309768,13.8629724592317,NaN,NaN
100,3.00974453651722,0.289001977354899,121.927068798487,10.4756294156412,209.158702911375,241.391259405384
150,NaN,0.377787069970907,145.715221545231,NaN,NaN,NaN
200,NaN,0.394775147286738,130.625750301001,NaN,NaN,NaN
