t,epo_level,SOCS3nRNA3_Obs
150,2.5e-09,0.00012720674920288
150,2.5e-09,0.000186576089708941
150,2.5e-09,0.000187523098254272
150,2.5e-08,0.000284252747310765
150,2.5e-08,0.000332774521068038
150,2.5e-08,0.000353543574125201
150,1.25e-07,0.000395491624370141
150,1.25e-07,0.000422312929289424
150,1.25e-07,0.000476402254197558
150,2.5e-07,0.000423241437649573
150,2.5e-07,0.000451441922812484
150,2.5e-07,0.000456885670981323
150,2.5e-06,0.000821924003616638
150,2.5e-06,0.000884136073481431
150,2.5e-06,0.000925493162929356
