t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA3_Obs
0,2.93631713668378,-0.0271037232310203,-0.0158462164045015,129.516597589905,-0.15410524389262,2.80583724096853,-0.674412729760533,48.4579427217454,-8.96424824542641,-1.3880361486386e-05
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.49241656970232,NaN,NaN
7,NaN,0.664122818370312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,36.2373883150886,NaN,NaN,16.0998810140397,NaN
10,2.28110011686189,NaN,NaN,NaN,NaN,NaN,-25.2180781379408,NaN,NaN,NaN
15,NaN,0.252012397777208,0.149231692652072,118.867402354264,8.8591777802051,122.737801681871,NaN,19.5713178536423,-16.3368992650741,NaN
20,2.70412949686928,0.256855973241641,NaN,NaN,NaN,NaN,NaN,66.2246584492769,NaN,0.000693968102022349
25,NaN,NaN,NaN,129.334712060013,15.9202778321312,185.944799777844,117.592073910464,NaN,51.4192266064207,NaN
30,NaN,0.194077070762701,0.29300613206508,NaN,NaN,NaN,NaN,151.202669383407,NaN,NaN
35,2.61671927466035,NaN,NaN,NaN,NaN,359.419672301237,249.752224569733,205.614162729404,154.008078497116,NaN
40,NaN,0.128833158491294,NaN,120.645437735052,19.1332462779883,NaN,NaN,NaN,NaN,0.00126034512075071
45,3.51275365405191,NaN,0.349930167534789,NaN,NaN,337.39973784517,NaN,321.133113954562,274.582265060205,NaN
50,NaN,0.157094003949029,NaN,NaN,NaN,NaN,336.48219444674,NaN,NaN,NaN
55,NaN,NaN,NaN,94.0735793900204,20.6941725756847,NaN,NaN,336.43342534641,NaN,NaN
60,3.16279659023895,0.142747357987256,NaN,NaN,NaN,340.056172210715,NaN,NaN,329.330495903213,0.00119041601425257
65,NaN,NaN,0.440783121450177,NaN,NaN,NaN,315.055600434003,NaN,NaN,NaN
70,NaN,NaN,NaN,126.967742452447,15.8529942910993,NaN,NaN,365.046874700305,NaN,NaN
75,NaN,0.112400349442104,NaN,NaN,NaN,314.241984143164,NaN,NaN,400.179066052299,NaN
80,2.31820573168395,NaN,NaN,NaN,NaN,NaN,295.692868770062,NaN,NaN,NaN
85,NaN,NaN,0.311803234337305,NaN,NaN,NaN,NaN,320.149563357831,NaN,0.000776397998778819
90,NaN,0.106359851202738,NaN,89.0949707436635,13.2240327724869,231.881880697766,NaN,NaN,335.275560604414,NaN
95,2.26531493517323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,2.99603793055501,0.109351787611923,0.405935635651178,111.33786812147,7.95871001034999,212.736166889067,259.603208603597,280.914044826024,224.37177740395,0.000663272094745758
150,2.64008345299271,0.128227370282157,0.411397079270091,131.452470239424,9.62931390814977,128.645697389065,169.281788132559,166.367094682439,148.94704588189,0.000429822799998224
200,2.59568220098958,NaN,0.475732787786295,119.351022021412,5.30964952973059,NaN,147.058131881068,NaN,NaN,0.00046466615642851
250,NaN,NaN,0.429047712186117,127.042375238993,5.97762805988165,NaN,105.114589889187,NaN,NaN,0.000484619503099961
300,NaN,NaN,0.459209010179155,137.167497829152,8.71685511391638,NaN,186.495921690858,NaN,NaN,0.000583556515974661
