t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs
0,3.12913494041063,0.0735395499711326,119.809903068037,1.09513646847823,61.4105047592606
5.5,NaN,NaN,-5.25889090340393,27.47109921961,NaN
6,0.785265355318479,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,108.584114685488
10,NaN,0.25725509268701,9.4718109032033,39.7186641495463,NaN
15,1.27761216036608,NaN,14.9383290197914,45.7138585117991,NaN
20,1.23571740224704,NaN,NaN,NaN,441.036589940528
25,1.87210163754921,0.659589088699067,45.1641866407107,56.880873815165,NaN
30,NaN,NaN,45.094478040474,60.0711427329733,779.053743866547
35,2.2346364733272,0.688899847789774,50.9684542902424,47.3516978407743,NaN
40,NaN,NaN,NaN,NaN,1013.29368281518
45,1.83743497761341,NaN,59.033711781639,48.3079361853124,NaN
50,NaN,0.729369932242939,NaN,NaN,899.01564484659
55,2.37317278128062,NaN,72.6716925301317,30.7780999357088,NaN
60,NaN,NaN,NaN,NaN,894.551706689129
65,NaN,0.754375914903189,87.7871810166885,NaN,NaN
70,2.69339616634699,NaN,NaN,33.4073096347723,NaN
75,NaN,NaN,NaN,NaN,590.092863403544
80,NaN,NaN,107.258553390663,27.3741079046808,NaN
85,2.18812057454593,0.75415451167502,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,545.184779191901
95,NaN,NaN,107.531987243463,NaN,NaN
100,2.43727266149706,0.886388805930888,120.403907677315,16.3255024981464,446.515404100592
150,NaN,1.05824946291717,NaN,NaN,127.854043298591
200,NaN,1.18732426648896,NaN,NaN,235.358954360209
