t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,p12EpoRpJAK2_Obs
0,3.22846096394462,-0.000180950730819987,0.00448725306925799,145.527640846919,3.98305190549225,-0.000821354283612496
10,NaN,NaN,NaN,NaN,NaN,0.491916252085878
15,2.06911365332414,0.210363596544478,NaN,NaN,45.6821010785611,NaN
20,NaN,NaN,0.249607194088619,5.62794457183703,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,0.116251564002034
30,2.61623638738004,0.228388571387454,NaN,NaN,57.5326750707203,NaN
35,NaN,NaN,NaN,15.663369794992,NaN,0.076367439612695
45,NaN,NaN,0.41147159510544,NaN,56.3930639423078,NaN
50,2.84266151005308,0.195638367461675,NaN,NaN,NaN,0.0492368540564665
55,NaN,NaN,NaN,46.2298617337964,NaN,NaN
60,NaN,NaN,NaN,NaN,51.0414018619425,NaN
65,2.48438190251236,0.145726323221918,NaN,NaN,NaN,0.0254548048567874
70,NaN,NaN,0.394309100358784,NaN,NaN,NaN
80,NaN,NaN,NaN,86.876978580087,49.9082786975091,NaN
85,2.16451142816734,0.173116281159412,NaN,NaN,NaN,0.032362428819992
95,NaN,NaN,0.478038486630562,NaN,NaN,NaN
100,2.63277187322657,0.163211940453667,0.478816909602178,55.7595317596478,38.1728186248514,0.0073874952620647
150,3.51945875592964,0.162930616642086,0.494283264315042,88.4845558028765,34.6159115719089,0.0281664557982529
200,2.95398437643912,0.132302956505982,0.543414291313083,88.5986687084655,31.1840932231303,NaN
250,2.2963949235902,0.176707093019627,0.524043907567756,82.910520479693,27.2824746726142,NaN
300,NaN,NaN,0.66674260901598,103.372270487965,27.3284125771829,NaN
350,NaN,NaN,0.630442035125888,78.4840681558968,NaN,NaN
400,NaN,NaN,NaN,87.5340576766817,NaN,NaN
450,NaN,NaN,0.556416552371858,NaN,NaN,NaN
