t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA3_Obs,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA3_Obs
0,2.62162310887617,-0.0139901740060501,-0.0213481671920399,153.421637395614,0.0183655389776153,-0.400138056541892,1.37712677651866,0.69872539176606,-2.20165351059629,4.02943827562938e-07
10,3.08522005094889,NaN,NaN,108.606667057518,NaN,NaN,NaN,0.276562022437218,0.141474814001092,NaN
15,NaN,0.199713886070473,0.0420938795173098,NaN,0.177282102129123,0.966467726896793,1.21377832198236,NaN,NaN,1.43530212336549e-05
20,NaN,NaN,NaN,146.727404152886,NaN,NaN,NaN,NaN,NaN,NaN
25,2.73972360176376,NaN,NaN,NaN,0.375343157566731,NaN,NaN,1.98974968195742,1.06508756593127,NaN
30,NaN,0.121272855380984,0.0800584514850351,109.333394212593,NaN,7.76520947985025,4.38921764475743,NaN,NaN,3.65459254110355e-05
35,2.94933324294745,NaN,NaN,NaN,NaN,NaN,NaN,5.07400203575892,2.87757874735882,NaN
40,NaN,NaN,NaN,NaN,0.746181585700171,NaN,NaN,NaN,NaN,NaN
45,NaN,0.114916942263946,0.116790052889173,140.998369097224,NaN,15.1546454809327,9.64834704732115,NaN,NaN,5.37397341852972e-05
50,2.83193512589194,NaN,NaN,NaN,NaN,NaN,NaN,12.7858400813969,11.5867565885239,NaN
55,NaN,NaN,NaN,NaN,0.894801452377499,NaN,NaN,NaN,NaN,NaN
60,NaN,0.103834407069427,NaN,149.042109574959,NaN,17.4118296873731,16.8706069535916,NaN,NaN,4.89960510657408e-05
65,NaN,NaN,0.158690920579386,NaN,NaN,NaN,NaN,14.7367915979431,13.3076685767121,NaN
70,2.81012955014266,NaN,NaN,NaN,1.07065235113042,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,134.494086207821,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,0.0801665385096478,NaN,NaN,NaN,15.1492679383658,14.0131525319938,18.7087212856858,16.7914072278661,5.86761427703858e-05
85,NaN,NaN,0.133730288373253,NaN,0.935996563754892,NaN,NaN,NaN,NaN,NaN
90,3.45626534245716,NaN,NaN,114.437389160517,NaN,NaN,NaN,NaN,NaN,NaN
100,3.35717958300717,0.0772640264788473,0.187565220084575,103.364308741177,0.789130344147321,15.5521933910725,13.8848301276007,15.8857654585735,13.5928146230079,5.1510097663639e-05
150,2.56645357823777,0.0938184927004634,0.174896863979212,146.52232813515,0.549683607834808,12.2602099013736,13.1111093069538,10.5037645844224,10.4382897078548,4.78919753260096e-05
200,NaN,0.0810946652955229,0.166966913388821,147.833978568351,0.62478454874558,10.2057666878587,10.3039393014698,9.5570934998968,11.3291087227389,3.3196318713072e-05
250,NaN,0.0713356241481154,0.184254299706323,NaN,0.587727849841224,12.1632439956918,9.30459942479318,11.3713298399163,10.4271368946202,2.76308026296572e-05
300,NaN,NaN,0.201371828984912,NaN,0.517625416067243,8.94122183168002,10.9627963106385,10.4994232132809,10.1847810216669,3.20066692512057e-05
