t,EpoRJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA4_Obs,CISnRNA5_Obs
0,2.79639219597754,0.0514869009125379,158.714219954816,-2.10674181164982,-43.3683798357715,19.8168992491894
5,NaN,NaN,NaN,NaN,64.7440787143889,NaN
5.5,NaN,NaN,NaN,4.92256718277611,NaN,NaN
6,2.19126945436932,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,14.4528111417915
7.5,NaN,NaN,96.2784319323353,NaN,NaN,NaN
10,2.56452565726254,0.362494654145753,NaN,12.2903455345213,11.2383318078447,NaN
15,NaN,NaN,88.7227808667057,15.0560406758521,37.3701979712249,10.2283928198277
20,2.34771473998679,0.487042416852442,NaN,NaN,144.417801437447,84.6759510389381
25,3.16766903032333,NaN,106.513667374454,21.419450452696,NaN,166.144710063406
30,NaN,0.768243049074117,NaN,21.9453888829988,298.417368857215,NaN
35,2.24195190708222,NaN,97.2911082287801,NaN,328.349347770815,290.340296822566
40,NaN,0.783359905508079,134.230919292562,21.5286750176517,NaN,NaN
45,2.76945667513277,NaN,NaN,NaN,371.938159696354,375.301002954491
50,NaN,NaN,NaN,18.656595982546,NaN,NaN
55,3.0592277817608,0.875250138794229,112.502263447726,NaN,394.433674943383,377.8475862604
60,NaN,NaN,NaN,14.8332575704142,NaN,NaN
65,3.43458536291862,NaN,115.615939206236,NaN,365.192354159944,NaN
70,NaN,1.10592542406166,NaN,13.2702781522548,NaN,325.623862915668
80,NaN,NaN,120.518558827137,NaN,204.767426052064,NaN
85,2.94865630662017,0.931314294625005,NaN,7.2060873195377,NaN,261.508809957892
95,NaN,NaN,NaN,NaN,223.490104227049,NaN
100,2.63459385731499,0.979748451657217,154.136027231153,6.0796809341918,158.331551484517,191.575784050552
150,NaN,1.09757999428781,145.346364293277,NaN,NaN,62.0056366657948
200,NaN,1.15392879701386,NaN,NaN,NaN,NaN
