t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTPAct_Obs
0,-0.00234189141036732,-0.130570532466926,0.000148099437969814
10,0.0366930749062322,0.45692911263864,NaN
20,0.0436762368175421,NaN,NaN
25,NaN,0.385571880941578,NaN
30,NaN,NaN,0.00354067627144082
35,0.0168551189476795,0.242784104450261,NaN
50,0.0329810911375955,0.351068896137256,NaN
60,NaN,NaN,0.00238163914280167
65,0.0304075541953992,0.324422885454444,NaN
85,0.0470707738684806,0.314200078609453,NaN
90,NaN,NaN,0.00401073311515161
100,NaN,0.248864337205942,0.00279633849787674
150,NaN,0.172429519136661,0.002473179947867
200,NaN,NaN,0.00382945344647713
250,NaN,NaN,0.00385064465388248
350,NaN,NaN,0.00340682966107051
450,NaN,NaN,0.00314400894111962
