t,STAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs
0,3.81621399968444,1.19223532684228e-05,0.000804460273705863
15,0.593093442579685,NaN,NaN
25,NaN,0.0010036352061031,0.000733207588898825
35,0.984885577683234,NaN,NaN
50,NaN,NaN,0.000788296500528805
55,1.26292046311323,0.000854241902121296,NaN
75,1.75351849966464,NaN,NaN
80,NaN,NaN,0.000896501209289776
85,NaN,0.00093798189123611,NaN
100,1.63466405005999,0.000963110272182125,0.000834876839427826
150,1.49865591858158,0.000878132803142334,0.000732287323592616
200,NaN,0.000924442877908508,0.000931886567802632
250,NaN,NaN,0.00059936264367976
300,NaN,NaN,0.000823204088540454
350,NaN,NaN,0.000853977661784516
