t,pEpoRpJAK2_Obs,CISHnRNA2_Obs
0,-0.00609994611687889,-0.00202676454761359
6,0.397452654978565,NaN
9,NaN,0.00213458693511922
10,0.209364628926501,NaN
20,0.130329367536712,0.0123668318019761
25,0.0996333907265143,NaN
30,NaN,0.0148549937968145
35,0.0851893388009054,NaN
40,0.0849431302860821,0.0205479960026575
50,0.0700719955566432,0.0183914443623683
65,0.108576619426683,0.0150954441626659
80,0.0905378157791298,0.0155736575965854
95,0.0733647525919265,NaN
100,NaN,0.00911415680909741
150,NaN,0.00615598443969854
