t,STAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs
0,3.92118804511365,1.47146982883186e-05,0.000791571182976929
20,0.509412975855703,NaN,NaN
25,NaN,0.000988309226378996,NaN
30,NaN,NaN,0.000899059089875782
40,0.831475377862408,NaN,NaN
55,NaN,0.000972745120092301,NaN
60,1.11129374876328,NaN,0.00096183981307926
85,1.1375393225497,NaN,NaN
90,NaN,0.00119614723098596,0.000883438491081804
100,0.678826635397412,0.000861161728777609,0.000794712766428659
150,1.4113771961212,0.000706704532271062,0.000727812778554292
200,1.31909568016289,0.000817645193335862,0.000747523340016383
250,NaN,NaN,0.000866330172892722
300,NaN,NaN,0.000817425179699644
400,NaN,NaN,0.00108423998244843
