t,STAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs
0,4.24171793212036,0.000166448483558579,0.000856819844194238
15,4.81501026988922,0.000137126065195702,0.000713293296856688
30,5.37684398151586,0.000144943377689355,NaN
35,NaN,NaN,0.00100555194297324
45,3.1420239609584,NaN,NaN
50,NaN,0.000142623143855248,NaN
55,NaN,NaN,0.000997480578133518
65,3.70195261513389,NaN,NaN
70,NaN,0.000171579097304543,NaN
75,NaN,NaN,0.000817234394646043
85,4.14518119268812,NaN,NaN
90,NaN,0.000133292468167835,NaN
100,3.77933400178259,0.000168658891981679,0.000711529953199042
150,NaN,NaN,0.000841432832713933
