t,CISHnRNA1_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs
0,-0.0213297024483713,-0.25774470962741,-0.0168785026532551
3.5,NaN,NaN,0.0382668137886221
5,-0.109491040298323,NaN,NaN
5.5,NaN,0.0230596461993906,NaN
7.5,NaN,NaN,0.213614236161402
10,0.173274584864377,-0.0851937762087799,0.225928063295115
15,0.400349064906923,-0.374298095445775,-0.0924642961150507
20,NaN,NaN,-0.171094753725309
25,0.077971946400504,-0.139982162766143,0.156647769486376
30,0.0989751643263306,-0.0831954608351548,NaN
35,NaN,NaN,-0.149037855820862
40,0.0104914858851776,0.0643490419321529,NaN
50,NaN,0.284377680351521,NaN
60,NaN,-0.267067052672039,NaN
75,NaN,0.0171302567813244,NaN
