t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,PTPAct_Obs,STAT5_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs
0,-0.00378238476910632,0.0262549800409546,-0.00033929824223316,58.8198958205244,-0.000970137083376273,0.00503792510594555,0.0032580210879557,0.00407174601618781
10,NaN,0.433308755747557,NaN,NaN,NaN,NaN,NaN,NaN
15,0.0333441267120483,NaN,NaN,16.4546009691778,NaN,NaN,NaN,NaN
20,NaN,0.22772430842086,NaN,NaN,NaN,0.0227017940946329,NaN,0.0421543255710669
25,NaN,NaN,0.00201987056929867,NaN,0.0292747133518442,NaN,0.0240143352160066,NaN
30,0.0392698949972566,NaN,NaN,30.5954167357597,NaN,NaN,NaN,NaN
35,NaN,0.177656801972763,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.0302286766446888,NaN,NaN
45,0.026194383201967,0.144667776296702,NaN,43.4140645040826,NaN,NaN,NaN,0.0406350718794815
50,NaN,NaN,0.00169186897265868,NaN,0.0287659648724111,NaN,0.0342977583297238,NaN
60,NaN,0.143060654249468,NaN,36.75675311463,NaN,0.029616252471453,NaN,NaN
65,0.0315282884687557,NaN,NaN,NaN,NaN,NaN,NaN,0.027438022893798
75,NaN,0.137341543163995,0.00198842248037962,52.4889565900379,NaN,NaN,0.0186973028821633,NaN
80,NaN,NaN,NaN,NaN,0.0177969447913561,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0208945476211508,NaN,NaN
90,0.0297675438348527,NaN,NaN,NaN,NaN,NaN,NaN,0.0207170558280649
95,NaN,0.112483772657246,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0340156966091829,0.146223139817274,0.00247934616489082,57.2617113491996,0.0155394673266285,0.0142808679779767,0.0117746658439314,0.0269004097786864
150,NaN,0.132266523382998,0.00210373062059407,46.2883918675268,0.011194043622013,0.0130772477194672,0.0158317609499864,0.0138627839619544
200,NaN,NaN,0.00186174815057591,48.3443610261548,0.013169876825374,0.0137772343934138,0.0126657102624708,0.0218190723541158
250,NaN,NaN,NaN,44.4094503056839,0.00771926156875132,0.0144276573859757,0.00950146937823611,0.0225976750016605
300,NaN,NaN,NaN,NaN,NaN,0.0161162470525779,0.012990797157626,0.0151460825256967
350,NaN,NaN,NaN,NaN,0.0148297126906588,NaN,NaN,0.0174342915121112
400,NaN,NaN,NaN,NaN,0.0140758560470631,NaN,0.0107835081619725,NaN
