t,epo_level,CISHnRNA1_Obs
20,2.5e-09,-0.00727892106386229
20,2.5e-09,-0.000916060636733432
20,2.5e-09,-0.000500783667055422
20,2.5e-08,-0.000796690103325479
20,2.5e-08,0.00375837485956923
20,2.5e-08,0.0107829548651424
20,1.25e-07,0.01923916721013
20,1.25e-07,0.0248556561847463
20,1.25e-07,0.0406120540886089
20,2.5e-07,0.0388680323890878
20,2.5e-07,0.0423354972941016
20,2.5e-07,0.0462153771573838
20,1.25e-06,0.0437748926834475
20,1.25e-06,0.0572696917352027
20,1.25e-06,0.0609727348690041
20,2.5e-06,0.050653589899566
20,2.5e-06,0.0537584952564137
20,2.5e-06,0.0666559935409057
