t,pEpoRpJAK2_Obs,CISHnRNA1_Obs,CISHnRNA2_Obs
0,0.0113863791962348,-0.00198453381008561,0.00163423638784655
7,0.282145214725431,NaN,NaN
7.5,NaN,0.00189680393996564,NaN
8.5,NaN,NaN,-0.00152856898148572
15,0.156181187997015,0.015392442043751,0.00682961831103182
20,0.145965143198134,NaN,NaN
25,NaN,0.0173405287256814,0.0150726245230996
30,0.118670458262417,NaN,NaN
35,NaN,0.0165204181659656,0.0158962557423909
40,0.063771987486746,NaN,NaN
45,NaN,0.0212178935433953,0.016505364056946
50,0.0865255576521769,NaN,NaN
55,NaN,0.0163122668735996,NaN
60,NaN,NaN,0.0127823791644897
65,0.0731273868850608,NaN,NaN
70,NaN,0.0114099612614424,NaN
75,NaN,NaN,0.0145463530638386
80,0.0834369043837043,NaN,NaN
85,NaN,0.0132649768838564,NaN
95,NaN,NaN,0.0122307953905117
100,0.0395695276936829,0.0127150539357644,0.0107473645760228
150,NaN,0.0119328820452867,0.00426998332089741
