t,epo_level,pEpoRpJAK2_Obs
14,0,0.0325474416273588
14,0,0.279409867407362
14,4.2857e-08,0.0633111707682482
14,4.2857e-08,0.109516072723244
14,1.4286e-07,0.129871210443891
14,1.4286e-07,0.151738178871921
14,4.2857e-07,0.164911122822953
14,4.2857e-07,0.426516513719173
14,1.4286e-06,0.518245060892024
14,1.4286e-06,0.64826634272093
14,4.2857e-06,0.702570805199203
14,4.2857e-06,0.888821416853194
14,1.4286e-05,0.736353814201659
14,1.4286e-05,1.08189824296599
14,4.2857e-05,0.843472413455857
14,4.2857e-05,1.05163545118962
