t,epo_level,pEpoRpJAK2_Obs
17,2.5e-09,0.00305078063322994
17,2.5e-09,0.0383261317872273
17,2.5e-09,0.127577943796949
17,7.905e-09,0.0641896041560312
17,7.905e-09,0.151184504401082
17,7.905e-09,0.185100070484208
17,1.25e-08,0.0244221816569366
17,1.25e-08,0.120943523783647
17,1.25e-08,0.193211863990136
17,1.75e-08,0.0583363029936536
17,1.75e-08,0.160334543412674
17,1.75e-08,0.176933641138322
17,2.5e-08,0.152903709148284
17,2.5e-08,0.16916999820169
17,2.5e-08,0.203932389745053
17,3.95e-08,0.0958474530665376
17,3.95e-08,0.172622739546165
17,3.95e-08,0.191492442401016
17,7.9e-08,0.195422468641038
17,1.25e-07,0.296188117906297
17,1.7675e-07,0.356672177725178
17,2.5e-07,0.350875362638072
17,7.905e-07,0.593408650538074
17,7.905e-07,0.614425273537792
17,7.905e-07,0.627993571713736
17,2.5e-06,0.703971951763356
