t,pEpoRpJAK2_Obs,CISHnRNA1_Obs
0,-0.00588220335984184,0.000156868904391791
8,0.10068029079418,NaN
15,0.103336045892979,NaN
20,NaN,0.000190344467975208
25,0.0491483022610223,NaN
35,0.0459559794439108,NaN
40,NaN,0.000298867160062419
45,0.0338004860107084,NaN
60,0.0141399297632214,0.000233379693467047
75,0.0404537060531748,NaN
85,NaN,0.000392878677310829
95,0.0203554892841751,NaN
100,0.0340490271985071,0.000483434419240209
150,NaN,0.000447465105264497
200,NaN,0.000415707144258745
250,NaN,0.00042907854449626
