t,epo_level,CISHnRNA2_Obs
27,6.6667e-07,0.000136911130591683
27,6.6667e-07,0.00016223372116925
27,1.3333e-06,9.08953522438168e-05
27,1.3333e-06,0.000234361337254285
27,2.6667e-06,0.000185989142438485
27,2.6667e-06,0.000228305494935477
27,5.3333e-06,0.000288161462636442
27,5.3333e-06,0.000289303919394021
27,1.0667e-05,0.000231203430968788
27,1.0667e-05,0.000237675024760793
27,2.1333e-05,0.000160188992414087
27,2.1333e-05,0.000300994468195732
27,4.2667e-05,0.000180005842712428
27,4.2667e-05,0.000248268100608099
