t,pEpoRpJAK2_Obs,CISHnRNA2_Obs
0,0.0629257522656549,-0.000660270671590588
7.5,0.586323455017068,NaN
9.5,NaN,0.00330585418139656
15,0.260792671061731,NaN
20,NaN,0.0260125558108233
25,0.229087930065746,NaN
30,0.140977154008452,0.02963087576759
40,0.169904193878071,0.0326022407735738
50,0.150182326661487,NaN
55,NaN,0.0262901166051755
65,0.0775173508063119,NaN
70,NaN,0.0224258048582564
80,0.138532677300104,NaN
90,NaN,0.016029692615451
95,0.100925821075663,NaN
100,0.096078498586638,0.0145144895676841
150,0.163007594867246,0.0122927906974418
