t,IRiP_Obs,IRS_Obs,IRSiP_Obs
0,6.2757350451889e-06,7.56375962490916,0.0489447398819785
2,NaN,7.31161614084241,NaN
2.5,NaN,NaN,1.02021376019185
3.5,0.000421647654949757,NaN,NaN
4.5,NaN,7.00102372358088,1.35751283883709
7,NaN,6.6560556774264,NaN
7.5,0.000228839506583163,NaN,1.50192498261115
10,0.000379375363215323,10.1024057309899,1.09428616101132
15,0.00025414649204936,8.92737556454673,2.59790661447974
20,0.000342136037183264,9.001829559353,3.10973584534693
25,0.000329947056565483,9.37247969846576,1.09200186196592
30,NaN,11.4133602531191,0.826002045099278
35,0.000318721831279141,NaN,NaN
40,0.000289790244164536,NaN,NaN
50,0.000273290102140152,NaN,NaN
60,0.000408017665894844,NaN,NaN
