t,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.60347007776602e-05,1.0272504121379,0.00126433016238734,0.908550756931001,0.0792382643691549
0.2,NaN,NaN,NaN,0.934576565020612,NaN
0.25,NaN,0.880426539269961,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.988813109921472,NaN
0.45,NaN,NaN,NaN,NaN,0.0133919815016921
0.5,NaN,1.10267439625015,NaN,NaN,NaN
0.65,NaN,NaN,NaN,0.859229741109131,NaN
0.75,NaN,1.14751209229004,NaN,NaN,NaN
0.9,NaN,NaN,NaN,1.03405510383211,NaN
0.95,NaN,NaN,NaN,NaN,0.00215767843251225
1,NaN,1.01130955600359,NaN,0.940353614231572,NaN
1.5,NaN,0.992336765205262,NaN,0.939337406513408,0.00564441240613109
2,NaN,1.23803940058571,NaN,0.996477034091728,0.00835848841488736
2.5,NaN,1.01830784835507,NaN,NaN,NaN
3,NaN,1.09527353880362,NaN,NaN,0.00999397308579104
3.5,9.18507653616708e-05,0.999893653515271,NaN,NaN,0.00868132513058098
4.5,NaN,0.811500067907078,0.00566565810795097,NaN,NaN
7,9.75278265038237e-05,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.00571804666379659,NaN,NaN
10,9.72976978349746e-05,NaN,NaN,NaN,NaN
15,0.000108221434669736,NaN,0.00526296047574929,NaN,NaN
20,NaN,NaN,0.00627457241139493,NaN,NaN
