t,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.12024119342657e-05,1.10210611015414,0.000827153110121382,0.894612160930894,0.0727350072028361
0.3,NaN,1.0807852093612,NaN,NaN,NaN
0.65,NaN,1.0067926969054,NaN,NaN,NaN
1,NaN,0.983051280031991,NaN,NaN,NaN
1.5,2.06480562715666e-05,1.14155702320343,NaN,NaN,NaN
2,NaN,0.966027484110212,NaN,0.882045221678079,0.118391138171458
2.5,NaN,0.924185761512585,NaN,NaN,NaN
3,1.39063628531482e-05,1.0040065124053,NaN,NaN,NaN
3.5,NaN,0.806031631459555,NaN,NaN,NaN
4,NaN,NaN,NaN,0.831012354083005,0.0848389107465565
4.5,1.28432902585092e-05,1.12864797985045,NaN,NaN,NaN
5,NaN,NaN,0.000856148025105116,NaN,NaN
5.5,NaN,0.931735552207593,NaN,NaN,NaN
6.5,1.30577028667121e-05,NaN,NaN,0.943345387406478,0.0896109785956776
8.5,1.36428821751302e-05,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,1.04127540402162,0.0808026970282936
10,1.28373113317363e-05,NaN,0.000788332914015444,0.813282354827617,0.0843239040796535
15,1.35503290089519e-05,NaN,0.000771324364187917,0.811594658859843,0.0755797836521189
20,1.33372752409786e-05,NaN,NaN,1.00725283683338,0.0666145733369059
25,1.34978220825155e-05,NaN,0.000862405396901602,0.993516439558556,0.0874115342209864
