t,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,9.6954746238994e-06,1.11621872280959,0.000721045467376922,0.917444444320346,0.0760053562284744
0.15,NaN,1.06324911498181,NaN,NaN,NaN
0.2,NaN,NaN,NaN,0.866553038398226,NaN
0.3,3.43120143932697e-05,NaN,NaN,NaN,NaN
0.35,NaN,1.01550384709492,NaN,NaN,0.0454381409367927
0.45,NaN,NaN,NaN,0.88600267523182,NaN
0.5,NaN,NaN,0.000308730205324565,NaN,NaN
0.55,NaN,1.06328873291424,NaN,NaN,NaN
0.6,3.40274288438066e-05,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.920789636405774,0.0323696244573526
0.8,NaN,1.00375154782986,NaN,NaN,NaN
0.95,3.16788952538491e-05,NaN,NaN,0.951935815938827,NaN
1,NaN,1.04233038589307,0.000282292244093352,NaN,0.0353249309487307
1.5,3.1462500640122e-05,0.857973196393997,0.000230941157770533,1.16633741564104,0.0305562154498651
2,3.55600000252985e-05,NaN,NaN,1.02823500434486,0.0301044016670673
2.5,3.22124294359333e-05,NaN,0.000286352848834969,NaN,0.0344426381394983
3,3.12384672320278e-05,NaN,0.000338145882270052,NaN,0.0301625129689751
4,NaN,NaN,0.000267768734024892,NaN,NaN
